ORDEN_CARGA,ESTADO_CARGA_CNED,OBSERVACION_CARGA,SEDE,TIPO_CARRERA_PROGRAMA,NOMBRE_PROGRAMA,MENCION_ESPECIALIDAD,ANIO_INICIO_ACTIVIDADES,CAMPUS,HORARIO,ESTADO_CARRERA_PROGRAMA,TIPO_PROGRAMA,DETALLE_TIPO_PROGRAMA_ESPECIAL,MODALIDAD_PROGRAMA,AREA_CONOCIMIENTO,SUBAREA,CARRERA_GENERICA,TITULO_OTORGA_PROGRAMA,GRADO_ACADEMICO_OTORGA_PROGRAMA,DEPENDENCIA,REGIMEN,DURACION_PROGRAMA_SEMESTRES,INGRESO_DIRECTO,INGRESO_DESDE_PLAN_COMUN,INGRESO_DESDE_BACHILLERATO,OTRO_TIPO_INGRESO,INGRESO_OTRO_DESCRIPCION,OBSERVACIONES,COD_CARR_REFERENCIA,CODIGO_SIES_REFERENCIA,NIVEL_PREGRADO_POSGRADO,MODALIDAD_ORIGINAL,TIPO_PROGRAMA_ORIGINAL,ESPECIAL_ORIGINAL,TRAZABILIDAD_ORIGEN,MOTIVO_TRAZABILIDAD,ALERTA_MANUAL,FUENTE_ORIGEN
11,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Administración de Empresas,,2024,,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Administración y Comercio,,Técnico en Administración de Empresas,Técnico Nivel Sup. en Administración de Empresas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51514,I162S2C78J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
12,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Administración de Empresas,,2024,,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Administración y Comercio,,Técnico en Administración de Empresas,Técnico Nivel Sup. en Administración de Empresas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51506,I162S2C78J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
13,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Administración de Empresas,,2024,,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,Técnico en Administración de Empresas,Técnico Nivel Sup. en Administración de Empresas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,51510,I162S2C78J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
14,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Logística,,2024,,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Técnico en Logística y similares,Técnico Nivel Sup. en Logística,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,51512,I162S2C79J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
15,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Logística,,2024,,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Técnico en Logística y similares,Técnico Nivel Sup. en Logística,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,51513,I162S2C79J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
16,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Automatización y Control Industrial (P.E.),,2024,,Otro horario,Nuevas,Especial,Continuidad (o articulación) de estudios,No presencial,Tecnología,,Ingeniería en Procesos Industriales y similares,Ingeniero en Automatización y Control Industrial,,,Semestral,4,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,51502,I162S2C22J4V2,Pregrado,No presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
17,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática,,1990,,Diurno,Nuevas,Regular,,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Informática,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,6677,I162S2C1J1V2,Pregrado,Presencial,Programa Regular,,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
18,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática,,1990,,Vespertino,Nuevas,Regular,,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Informática,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,6678,I162S2C1J2V4,Pregrado,Presencial,Programa Regular,,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
19,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Conectividad y Redes,,2002,,Vespertino,Nuevas,Regular,,Presencial,Tecnología,,Técnico en Administración de Redes Computacionales,Técnico Nivel Sup. en Conectividad y Redes,,,Semestral,4,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,6684,I162S2C6J2V2,Pregrado,Presencial,Programa Regular,,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
20,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Administración Pública,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,Administración pública y similares,Administrador Público,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53717,I162S2C83J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
21,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Auditoria,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,"Contabilidad, Auditoría y similares",Contador Auditor,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53721,I162S2C86J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
22,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Ciencia de Datos,,2025,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Ciencia de Datos,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,53722,I162S2C88J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
