POSICION	NOMBRE_CAMPO	NOMBRE_DESCRIPTIVO	SUBPROCESO	DEFINICION_OFICIAL	TIPO_DATO	LONGITUD	DOMINIO	CODIGOS	OBLIGATORIO	PRECARGADO	MODIFICABLE	NULO_PERMITIDO	FUENTE_NORMATIVA	FUENTE_INSTITUCIONAL	REGLA_TRANSFORMACION	VALIDACION_ESTRUCTURAL	VALIDACION_SEMANTICA	VALIDACION_CRUZADA	DEPENDENCIAS	LLAVE	SEVERIDAD	SALIDA_AUDITORIA	ESTADO_IMPLEMENTACION	OBSERVACIONES
11	TIPO_UNIDAD_MEDIDA	Tipo de Unidad de Medida.	Carreras Avance Curricular 2026	Unidad usada por la institución para cuantificar el avance curricular.	ENTERO	NO_DETERMINADO	1 Asignaturas/cursos/módulos; 2 Créditos académicos o SCT-Chile; 3 Otra unidad.	1 Asignaturas/cursos/módulos; 2 Créditos académicos o SCT-Chile; 3 Otra unidad.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
12	OTRA_UNIDAD_MEDIDA	Otra Unidad de Medida.	Carreras Avance Curricular 2026	Nombre descriptivo cuando TIPO_UNIDAD_MEDIDA es 3.	TEXTO	NO_DETERMINADO	Texto; requerido solo cuando tipo es 3 según Anexo IV.	Texto; requerido solo cuando tipo es 3 según Anexo IV.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
13	TOTAL_UNIDADES_MEDIDA	Número total de Unidades de Medida.	Carreras Avance Curricular 2026	Total de unidades que componen el plan de estudios.	ENTERO	NO_DETERMINADO	Números enteros; obligatorio.	Números enteros; obligatorio.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
14	UNIDADES_1ER_ANIO	Unidades del 1er año.	Carreras Avance Curricular 2026	Total de unidades que componen el primer año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
15	UNIDADES_2DO_ANIO	Unidades del 2do año.	Carreras Avance Curricular 2026	Total de unidades que componen el segundo año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
16	UNIDADES_3ER_ANIO	Unidades del 3er año.	Carreras Avance Curricular 2026	Total de unidades que componen el tercer año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
17	UNIDADES_4TO_ANIO	Unidades del 4to año.	Carreras Avance Curricular 2026	Total de unidades que componen el cuarto año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
18	UNIDADES_5TO_ANIO	Unidades del 5to año.	Carreras Avance Curricular 2026	Total de unidades que componen el quinto año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
19	UNIDADES_6TO_ANIO	Unidades del 6to año.	Carreras Avance Curricular 2026	Total de unidades que componen el sexto año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
20	UNIDADES_7MO_ANIO	Unidades del 7mo año.	Carreras Avance Curricular 2026	Total de unidades que componen el séptimo año del plan.	ENTERO	NO_DETERMINADO	Números enteros.	NO_APLICA	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
21	VIGENCIA	Vigencia.	Carreras Avance Curricular 2026	Variable para mantener o eliminar un registro cargado en este proceso.	ENTERO	NO_DETERMINADO	0 Eliminar registro; 1 Mantener registro.	0 Eliminar registro; 1 Mantener registro.	SI	SI	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
