POSICION	NOMBRE_CAMPO	NOMBRE_DESCRIPTIVO	SUBPROCESO	DEFINICION_OFICIAL	TIPO_DATO	LONGITUD	DOMINIO	CODIGOS	OBLIGATORIO	PRECARGADO	MODIFICABLE	NULO_PERMITIDO	FUENTE_NORMATIVA	FUENTE_INSTITUCIONAL	REGLA_TRANSFORMACION	VALIDACION_ESTRUCTURAL	VALIDACION_SEMANTICA	VALIDACION_CRUZADA	DEPENDENCIAS	LLAVE	SEVERIDAD	SALIDA_AUDITORIA	ESTADO_IMPLEMENTACION	OBSERVACIONES
11	ANIO_INGRESO_CARRERA_ACTUAL	Año de ingreso a la carrera actual.	Matrícula Avance Curricular 2026	Año en que cada estudiante ingresó a la carrera actual.	ENTERO	NO_DETERMINADO	Año calendario; no mayor a 2025 según Anexo V.	Año calendario; no mayor a 2025 según Anexo V.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
12	SEM_INGRESO_CARRERA_ACTUAL	Semestre de ingreso a la carrera actual.	Matrícula Avance Curricular 2026	Semestre de ingreso a la carrera actual.	ENTERO	NO_DETERMINADO	1 Primer Semestre; 2 Segundo Semestre.	1 Primer Semestre; 2 Segundo Semestre.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
13	ANIO_INGRESO_CARRERA_ORIGEN	Año de ingreso a la carrera de origen.	Matrícula Avance Curricular 2026	Año de ingreso al primer año del plan de estudios de la carrera de origen.	ENTERO	NO_DETERMINADO	Año calendario; no mayor a 2025 según Anexo V.	Año calendario; no mayor a 2025 según Anexo V.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
14	SEM_INGRESO_CARRERA_ORIGEN	Semestre de ingreso a la carrera de origen.	Matrícula Avance Curricular 2026	Semestre de ingreso a la carrera de origen o primer año.	ENTERO	NO_DETERMINADO	1 Primer Semestre; 2 Segundo Semestre.	1 Primer Semestre; 2 Segundo Semestre.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
15	CURSO_1ER_SEM	Presencia en primer semestre.	Matrícula Avance Curricular 2026	Indica si cursó actividades académicas durante el primer semestre 2025.	TEXTO	NO_DETERMINADO	SI; NO.	SI; NO.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
16	CURSO_2DO_SEM	Presencia en segundo semestre.	Matrícula Avance Curricular 2026	Indica si cursó actividades académicas durante el segundo semestre 2025.	TEXTO	NO_DETERMINADO	SI; NO.	SI; NO.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
17	UNIDADES_CURSADAS	Unidades cursadas durante 2025.	Matrícula Avance Curricular 2026	Unidades cursadas efectivamente durante 2025 pertenecientes al plan informado.	NUMERO	NO_DETERMINADO	Números; no incluye validación o reconocimiento en avance anual.	Números; no incluye validación o reconocimiento en avance anual.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
18	UNIDADES_APROBADAS	Unidades aprobadas durante 2025.	Matrícula Avance Curricular 2026	Unidades aprobadas efectivamente durante 2025 pertenecientes al plan informado.	NUMERO	NO_DETERMINADO	Números; no incluye validación o reconocimiento en avance anual.	Números; no incluye validación o reconocimiento en avance anual.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
19	UNID_CURSADAS_TOTAL	Unidades cursadas acumuladas.	Matrícula Avance Curricular 2026	Unidades cursadas desde ingreso hasta cierre de 2025.	NUMERO	NO_DETERMINADO	Números; puede incluir validación o reconocimiento según instructivo.	Números; puede incluir validación o reconocimiento según instructivo.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
20	UNID_APROBADAS_TOTAL	Unidades aprobadas acumuladas.	Matrícula Avance Curricular 2026	Unidades aprobadas desde ingreso hasta cierre de 2025.	NUMERO	NO_DETERMINADO	Números; límite de referencia es total del plan con tolerancia de 25%.	Números; límite de referencia es total del plan con tolerancia de 25%.	SI	NO	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
21	VIGENCIA	Vigencia.	Matrícula Avance Curricular 2026	Variable para mantener o eliminar un registro cargado en este proceso.	ENTERO	NO_DETERMINADO	0 Eliminar registro; 1 Mantener registro.	0 Eliminar registro; 1 Mantener registro.	SI	SI	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
