ID	SUBPROCESO	CAMPO_DESTINO	FUENTE_REQUERIDA	ARCHIVO_DISPONIBLE	HOJA	COLUMNA_ORIGEN	LLAVE	GRANULARIDAD	PERIODO	UNIDAD_MEDIDA	COBERTURA	CONFLICTOS	TRANSFORMACION	NIVEL_RESPALDO	ESTADO	BLOQUEA_IMPLEMENTACION	ACCION_REQUERIDA	OBSERVACIONES
FC-011	Carreras Avance Curricular 2026	UNIDADES_7MO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-012	Carreras Avance Curricular 2026	VIGENCIA	criterio institucional de pertenencia a la carga	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_APLICA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-013	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	plan real de cada estudiante	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	PLAN_DE_ESTUDIO	CODCLI/RUT + CODCARR/CODIGO_UNICO	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-014	Matrícula Avance Curricular 2026	CURSO_1ER_SEM	inscripción o actividad académica 2025 por semestre	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ANO + PERIODO + ESTADO	CODCLI/RUT + CODCARR	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-015	Matrícula Avance Curricular 2026	CURSO_2DO_SEM	inscripción o actividad académica 2025 por semestre	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ANO + PERIODO + ESTADO	CODCLI/RUT + CODCARR	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-016	Matrícula Avance Curricular 2026	UNIDADES_CURSADAS	historial académico con unidades del plan	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ASIGNATURA/NOTA_FINAL/ESTADO/CONVALIDADO	CODCLI/RUT + CODCARR + asignatura	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_IDENTIFICADA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-017	Matrícula Avance Curricular 2026	UNIDADES_APROBADAS	historial académico con unidades del plan	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ASIGNATURA/NOTA_FINAL/ESTADO/CONVALIDADO	CODCLI/RUT + CODCARR + asignatura	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_IDENTIFICADA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-018	Matrícula Avance Curricular 2026	UNID_CURSADAS_TOTAL	historial académico con unidades del plan	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ASIGNATURA/NOTA_FINAL/ESTADO/CONVALIDADO	CODCLI/RUT + CODCARR + asignatura	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-019	Matrícula Avance Curricular 2026	UNID_APROBADAS_TOTAL	historial académico con unidades del plan	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ASIGNATURA/NOTA_FINAL/ESTADO/CONVALIDADO	CODCLI/RUT + CODCARR + asignatura	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-020	Matrícula Avance Curricular 2026	VIGENCIA	criterio institucional de pertenencia a la carga	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	documento + CODIGO_UNICO	PERSONA_CARRERA/PERSONA_ASIGNATURA	2025	NO_APLICA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-MU-001	Carreras Avance Curricular 2026	PLAN_ESTUDIOS	catalogo de planes de estudio vigentes	PROMEDIOSDEALUMNOS_7804.xlsx; archivo_listo_para_sies.xlsx	Hoja1; ARCHIVO_LISTO_SUBIDA	PLAN_DE_ESTUDIO; CODIGO_CARRERA_SIES_FINAL	CODCARR/CODCLI; CODIGO_UNICO	CARRERA_PLAN/PERSONA_CARRERA	2025	NO_APLICA	PARCIAL	Equivalencia plan-codigo no validada para Avance.	Validar llaves; no ejecutar pipeline.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Validar contra catalogo institucional de planes.	Busqueda MU-Extranjeros confirma uso historico como apoyo, no como norma.
FC-MU-002	Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA; OTRA_UNIDAD_MEDIDA; TOTAL_UNIDADES_MEDIDA; UNIDADES_1ER_ANIO; UNIDADES_2DO_ANIO; UNIDADES_3ER_ANIO; UNIDADES_4TO_ANIO; UNIDADES_5TO_ANIO; UNIDADES_6TO_ANIO; UNIDADES_7MO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	PROMEDIOS contiene asignaturas cursadas, no distribucion oficial de malla.	Requerir fuente institucional; no inferir.	PENDIENTE	FUENTE_FALTANTE	SI	Solicitar malla oficial con unidades por ano.	DURACION_ESTUDIOS aporta duracion, no total de unidades ni unidad de medida.
FC-MU-003	Carreras Avance Curricular 2026	VIGENCIA	criterio institucional de vigencia carrera/plan	PROMEDIOSDEALUMNOS_7804.xlsx; DURACION_ESTUDIOS.tsv	matriz; TSV	VIGENCIA	CODIGO_UNICO	CARRERA_PLAN	2025/2026	NO_APLICA	PARCIAL	Definicion de vigencia no validada para Avance.	Validar contra instructivo y fuente institucional.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Definir fuente de vigencia Avance.	No reutilizar VIG de MU ni vigencia Extranjeros automaticamente.
FC-MU-004	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	plan real de cada estudiante	PROMEDIOSDEALUMNOS_7804.xlsx; archivo_listo_para_sies.xlsx	Hoja1; ARCHIVO_LISTO_SUBIDA	PLAN_DE_ESTUDIO	CODCLI; RUT + CODCARR	PERSONA_ASIGNATURA/PERSONA_CARRERA	2025	NO_APLICA	PARCIAL	Puede haber multiples carreras/planes por persona.	Validar persona-carrera antes de congelar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Conciliar con CODIGO_UNICO y fuente institucional.	El flujo Extranjeros uso estos campos como apoyo con trazabilidad.
FC-MU-005	Matrícula Avance Curricular 2026	CURSO_1ER_SEM; CURSO_2DO_SEM	inscripcion o actividad academica 2025 por semestre	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ANO; PERIODO; CODRAMO; ESTADO; DESCRIPCION_ESTADO	CODCLI; RUT + CODCARR; CODRAMO	PERSONA_ASIGNATURA	2025	SIN_VALIDAR	PARCIAL	Matrícula o registro de asignatura no equivale automaticamente a actividad Avance.	Definir criterio y validar cobertura.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Validar semestres, anulaciones y actividad efectiva.	Usable como contraste, no como fuente directa todavia.
FC-MU-006	Matrícula Avance Curricular 2026	UNIDADES_CURSADAS; UNIDADES_APROBADAS; UNID_CURSADAS_TOTAL; UNID_APROBADAS_TOTAL	historial academico con unidades del plan	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	CODRAMO; ASIGNATURA; ESTADO; DESCRIPCION_ESTADO; NOTA_FINAL; CONVALIDADO	CODCLI; RUT + CODCARR; CODRAMO	PERSONA_ASIGNATURA	2025/historico	NO_IDENTIFICADA	PARCIAL	Asignatura, nota y convalidacion requieren equivalencia institucional de unidad.	Validar unidad de medida y reglas de aprobacion.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Solicitar o validar malla/unidades y tratamiento de convalidaciones.	No contar filas como unidades sin validacion.
FC-MU-007	Matrícula Avance Curricular 2026	VIGENCIA	criterio institucional de pertenencia a la carga	DatosAlumnos; salidas MU	DatosAlumnos; ARCHIVO_LISTO_SUBIDA	ANOMATRICULA; PERIODOMATRICULA; ESTADOACADEMICO; SITUACION; MATRICULA	CODCLI; RUT	PERSONA_CARRERA	2025	NO_APLICA	PARCIAL	Regla de vigencia de Extranjeros y VIG MU no son norma Avance.	Definir criterio Avance propio.	PENDIENTE_VALIDACION	FUENTE_PARCIAL_CANDIDATA	SI	Validar fuente y regla institucional.	Usar solo como contraste hasta validacion.
FC-LL-001	Carreras Avance Curricular 2026	CODIGO_UNICO	cruce contra catalogos de carrera	PROMEDIOSDEALUMNOS_7804.xlsx; DURACION_ESTUDIOS.tsv; PUENTE_SIES_COMPILADO.tsv	matriz; TSV	CODIGO_UNICO	CODIGO_UNICO	CARRERA_PLAN	2025/2026	NO_APLICA	PARCIAL	DURACION_ESTUDIOS expande algunas filas; PUENTE_SIES no cubre todos los codigos.	Solo auditoria; no completar unidades.	VALIDACION_TECNICA	PARCIAL_LLAVE_VALIDADA	SI	Resolver duplicidad de catalogos antes de congelar fuentes nuevas.	Carreras cruza 100% con matriz por CODIGO_UNICO sin expansion.
FC-LL-002	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS; CURSO_1ER_SEM; CURSO_2DO_SEM; UNIDADES_CURSADAS; UNIDADES_APROBADAS; UNID_CURSADAS_TOTAL; UNID_APROBADAS_TOTAL	cruce persona-carrera-plan seguro	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	DOCUMENTO+CODIGO_UNICO; CODCLI+CODIGO_UNICO; CODCLI+CODCARPR+PLAN	PERSONA_CARRERA_PLAN	2025	NO_APLICA	PARCIAL	Documento solo y salida MU generan expansion; precarga no contiene CODCLI; Hoja1 no contiene CODIGO_UNICO.	Resolver many-to-many; no ejecutar pipeline.	VALIDACION_TECNICA	LLAVE_PARCIAL_NO_PRODUCTIVA	SI	Resolver cardinalidad y validar fuente institucional antes de completar Matricula.	Evidencia: VALIDACION_LLAVES/RESUMEN_CRUCES_LLAVES.tsv.
FC-LL-003	Carreras Avance Curricular 2026; Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	catalogo de planes de estudio vigente	Precargas; Hoja1; archivo_listo_para_sies.xlsx	NO_APLICA; Hoja1; ARCHIVO_LISTO_SUBIDA	PLAN_ESTUDIOS; PLAN_DE_ESTUDIO	CODIGO_UNICO+PLAN_ESTUDIOS; DOCUMENTO+CODIGO_UNICO+PLAN_ESTUDIOS	CARRERA_PLAN/PERSONA_CARRERA_PLAN	2025	NO_APLICA	PARCIAL	Planes observados no demuestran significado institucional ni catalogo definitivo.	No asignar planes.	VALIDACION_TECNICA	PENDIENTE_VALIDACION	SI	Confirmar fuente canonica de PLAN_ESTUDIOS.	Precargas tienen plan, pero validacion no autoriza usarlo como regla.
