ID_REGLA	PROCESO	SUBPROCESO	ANIO_PROCESO	ANIO_DATOS	PERIODO	SECCION_INSTRUCTIVO	PAGINA	CAMPO_O_TEMA	REGLA_OFICIAL	TIPO_REGLA	NIVEL_RESPALDO	FUENTE	IMPLEMENTACION_REQUERIDA	VALIDACION_REQUERIDA	SEVERIDAD	ESTADO	OBSERVACIONES
AC2026-GEN-011	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	IMPORTANTE VIGENCIA	7	VIGENCIA	En matrícula deben considerarse vigentes (1) todos los registros aunque la persona se haya retirado después del 30 de abril de 2025; vigencia solo mantiene o elimina el registro del proceso actual.	REGLA_FUNCIONAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	No interpretar vigencia como estado académico actual.	Requerir evidencia para VIGENCIA=0.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-012	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo III	15	Preparación PES	Para cargar en PES se debe eliminar la primera columna correspondiente al Código de la Institución y los encabezados.	SALIDA_TECNICA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Eliminar primera columna y encabezados solo en archivo PES final aprobado.	Validar columna institucional antes de eliminar.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-013	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo III	17	Orden de cargas	Debe cargarse primero Carreras y posteriormente Matrícula; de lo contrario el sistema puede arrojar error.	ORDEN_EJECUCION	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Implementar gate: matrícula depende de carreras validada.	Validar catálogo de CODIGO_UNICO + PLAN_ESTUDIOS.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-01	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	CODIGO_UNICO	CODIGO_UNICO: Identificador único de la carrera o programa informado por SIES. Campo no modificable. Dominio: Código único SIES.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-02	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	PLAN_ESTUDIOS	PLAN_ESTUDIOS: Correlativo del plan de estudios vigente; precargado con 1 y modificable cuando exista evidencia de planes vigentes distintos. Campo modificable. Dominio: Números correlativos por CODIGO_UNICO.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-03	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	NOMBRE_SEDE	NOMBRE_SEDE: Sede en que se imparte la carrera o programa informado. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-04	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	NOMBRE_CARRERA	NOMBRE_CARRERA: Nombre completo de la carrera o programa informado. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-05	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	JORNADA	JORNADA: Jornada en que se imparte la carrera o programa. Campo no modificable. Dominio: 1 Diurna; 2 Vespertina; 3 Semipresencial; 4 A Distancia; 5 Otra.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-06	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	VERSION	VERSION: Número de versión del programa de estudios. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-07	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	DURACION_ESTUDIOS	DURACION_ESTUDIOS: Duración del plan en semestres, sin incluir titulación cuando esté fuera del plan. Campo no modificable. Dominio: Semestres.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-08	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	DURACION_TITULACION	DURACION_TITULACION: Duración normal estimada del proceso de titulación, no plazo máximo. Campo no modificable. Dominio: Semestres.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-09	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	DURACION_TOTAL	DURACION_TOTAL: Duración teórica total hasta título o grado terminal. Campo no modificable. Dominio: Semestres.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-10	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	NIVEL_CARRERA	NIVEL_CARRERA: Nivel específico al que pertenecen los estudios. Campo no modificable. Dominio: 0 Bachillerato/Ciclo inicial/Plan común; 1 TNS; 2 Profesional sin licenciatura; 3 Licenciatura no conducente; 4 Profesional con licenciatura.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-11	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	TIPO_UNIDAD_MEDIDA	TIPO_UNIDAD_MEDIDA: Unidad usada por la institución para cuantificar el avance curricular. Campo modificable. Dominio: 1 Asignaturas/cursos/módulos; 2 Créditos académicos o SCT-Chile; 3 Otra unidad.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-12	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	OTRA_UNIDAD_MEDIDA	OTRA_UNIDAD_MEDIDA: Nombre descriptivo cuando TIPO_UNIDAD_MEDIDA es 3. Campo modificable. Dominio: Texto; requerido solo cuando tipo es 3 según Anexo IV.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-13	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	TOTAL_UNIDADES_MEDIDA	TOTAL_UNIDADES_MEDIDA: Total de unidades que componen el plan de estudios. Campo modificable. Dominio: Números enteros; obligatorio.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-14	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_1ER_ANIO	UNIDADES_1ER_ANIO: Total de unidades que componen el primer año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-15	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_2DO_ANIO	UNIDADES_2DO_ANIO: Total de unidades que componen el segundo año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-16	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_3ER_ANIO	UNIDADES_3ER_ANIO: Total de unidades que componen el tercer año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-17	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_4TO_ANIO	UNIDADES_4TO_ANIO: Total de unidades que componen el cuarto año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-18	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_5TO_ANIO	UNIDADES_5TO_ANIO: Total de unidades que componen el quinto año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-19	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_6TO_ANIO	UNIDADES_6TO_ANIO: Total de unidades que componen el sexto año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-20	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	UNIDADES_7MO_ANIO	UNIDADES_7MO_ANIO: Total de unidades que componen el séptimo año del plan. Campo modificable. Dominio: Números enteros.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-CAR-CAMPO-21	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo I	8-10	VIGENCIA	VIGENCIA: Variable para mantener o eliminar un registro cargado en este proceso. Campo modificable. Dominio: 0 Eliminar registro; 1 Mantener registro.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Carreras sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-01	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	TIPO_DOCUMENTO	TIPO_DOCUMENTO: Tipo de documento de identificación de cada estudiante. Campo no modificable. Dominio: R RUN; P Pasaporte.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-02	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	NUM_DOCUMENTO	NUM_DOCUMENTO: Cuerpo del RUN o número de pasaporte. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-03	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	DV	DV: Dígito verificador del RUN. Campo no modificable. Dominio: 0-9 o K.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-04	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	PRIMER_APELLIDO	PRIMER_APELLIDO: Primer apellido completo de cada estudiante. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-05	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	SEGUNDO_APELLIDO	SEGUNDO_APELLIDO: Segundo apellido completo de cada estudiante. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-06	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	NOMBRES	NOMBRES: Nombres completos de cada estudiante. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-07	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	SEXO	SEXO: Condición de mujer, hombre o no binario reportada en matrícula. Campo no modificable. Dominio: M Mujer; H Hombre; X No Binario.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-08	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	FECHA_NACIMIENTO	FECHA_NACIMIENTO: Fecha de nacimiento del/de la estudiante. Campo no modificable. Dominio: Dato precargado.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	MEDIA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-09	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	CODIGO_UNICO	CODIGO_UNICO: Identificador único de la carrera o programa informado por SIES. Campo no modificable. Dominio: Código único SIES.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-MAT-CAMPO-10	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	Anexo II	11-14	PLAN_ESTUDIOS	PLAN_ESTUDIOS: Correlativo del plan de estudios vigente; precargado con 1 y modificable cuando exista evidencia de planes vigentes distintos. Campo modificable. Dominio: Números correlativos por CODIGO_UNICO.	CAMPO_OFICIAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Incluir en contrato Matrícula sin columna institucional.	Validar posición, obligatoriedad, dominio y modificabilidad.	ALTA	EXTRAIDA_TXT	NO_APLICA
