RUTA	NOMBRE	EXTENSION	TAMANO_BYTES	FECHA_MODIFICACION	ESTADO_GIT	CLASIFICACION	CONTIENE_DATOS_PERSONALES_POTENCIAL	OBSERVACIONES
gobernanza_pais_est_sec.tsv	gobernanza_pais_est_sec.tsv	.tsv	23217	2026-04-01T17:53:11.263152-03:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
salida_validacion.txt	salida_validacion.txt	.txt	102	2026-04-09T09:07:14.560694-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
REGLAS_MU2026.tsv	REGLAS_MU2026.tsv	.tsv	2860	2026-04-08T08:35:25.578907-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
README.md	README.md	.md	13097	2026-06-26T00:47:07.955449-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
manual_matrícula_unificada.txt	manual_matrícula_unificada.txt	.txt	102008	2026-04-09T09:07:14.535455-04:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
.gitignore	.gitignore		1633	2026-06-26T01:23:24.773497-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
manual_matrícula_unificada 2.txt	manual_matrícula_unificada 2.txt	.txt	102008	2026-06-26T00:47:07.976437-04:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
gobernanza_niveles.tsv	gobernanza_niveles.tsv	.tsv	617	2026-04-09T09:07:14.534351-04:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
salida_validacion 2.txt	salida_validacion 2.txt	.txt	102	2026-06-26T00:47:07.986798-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
DOCUMENTACION_TECNICA.md	DOCUMENTACION_TECNICA.md	.md	27413	2026-06-26T00:47:07.954924-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
qa_checks.py	qa_checks.py	.py	103969	2026-06-26T00:47:07.978435-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
.gitignore.save	.gitignore.save	.save	967	2026-06-26T00:47:07.953907-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
PROMEDIOSDEALUMNOS_7804.xlsx	PROMEDIOSDEALUMNOS_7804.xlsx	.xlsx	10997739	2026-05-15T08:56:03.774979-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
gobernanza_nac.tsv	gobernanza_nac.tsv	.tsv	987	2026-04-01T17:53:11.262500-03:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
gobernanza_escala_notas.tsv	gobernanza_escala_notas.tsv	.tsv	17361	2026-04-09T09:07:14.320485-04:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
20260421_57181_20260420_Estructura_Personal_Académico_en_Institución_2026.csv	20260421_57181_20260420_Estructura_Personal_Académico_en_Institución_2026.csv	.csv	704	2026-06-08T16:59:31.208012-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
codigo_gobernanza_v2.py	codigo_gobernanza_v2.py	.py	268114	2026-06-26T00:47:07.956393-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
tools/auditar_cambio_sies_cicib.py	auditar_cambio_sies_cicib.py	.py	9889	2026-04-09T09:07:14.576835-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
tools/auditar_cambio_sies_cicib 2.py	auditar_cambio_sies_cicib 2.py	.py	9889	2026-06-26T00:47:07.997056-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
core/config/requirements.txt	requirements.txt	.txt	78	2026-04-09T13:19:26.427470-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
core/config/Makefile	Makefile		70	2026-04-09T13:19:26.427450-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
core/scripts/generar_gobernanza_columnas_mu.py	generar_gobernanza_columnas_mu.py	.py	67	2026-04-10T23:45:56.020849-04:00	TRACKED_OR_UNMODIFIED	código activo o transicional	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
core/scripts/qa_checks.py	qa_checks.py	.py	46	2026-04-10T23:45:56.021337-04:00	TRACKED_OR_UNMODIFIED	código activo o transicional	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
core/scripts/codigo_gobernanza_v2.py	codigo_gobernanza_v2.py	.py	57	2026-04-10T23:45:56.019701-04:00	TRACKED_OR_UNMODIFIED	código activo o transicional	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/README.md	README.md	.md	870	2026-04-01T17:53:09.294173-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/reporte_validacion.json	reporte_validacion.json	.json	1375	2026-04-01T17:53:11.217291-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/sies_ambiguedad_diagnostico.csv	sies_ambiguedad_diagnostico.csv	.csv	877	2026-04-01T17:53:11.217473-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/sies_codcarr_sin_mapeo.csv	sies_codcarr_sin_mapeo.csv	.csv	22	2026-04-01T17:53:11.217648-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/reporte_procedencia.csv	reporte_procedencia.csv	.csv	4547	2026-04-01T17:53:11.217018-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/carreras_avance_curricular_2025_pes_ready.csv	carreras_avance_curricular_2025_pes_ready.csv	.csv	1958	2026-04-01T17:53:11.209412-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/matricula_unificada_2026_oficial.xlsx	matricula_unificada_2026_oficial.xlsx	.xlsx	281500	2026-04-01T17:53:11.215811-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/matricula_unificada_2026_control.csv	matricula_unificada_2026_control.csv	.csv	165115	2026-04-01T17:53:11.213803-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/comparacion_versiones.md	comparacion_versiones.md	.md	872	2026-04-01T17:53:11.210238-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/diccionario_columnas.md	diccionario_columnas.md	.md	2235	2026-04-01T17:53:11.210946-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/matricula_avance_curricular_2025_pes_ready.csv	matricula_avance_curricular_2025_pes_ready.csv	.csv	151281	2026-04-01T17:53:11.213145-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/reporte_calidad_semantica.json	reporte_calidad_semantica.json	.json	586	2026-04-01T17:53:11.216450-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/matricula_avance_curricular_2025_control.csv	matricula_avance_curricular_2025_control.csv	.csv	154473	2026-04-01T17:53:11.212070-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_legacy/carreras_avance_curricular_2025_control.csv	carreras_avance_curricular_2025_control.csv	.csv	2359	2026-04-01T17:53:11.208550-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/archive/README.md	README.md	.md	46	2026-04-09T13:19:26.451029-04:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_0_baseline.md	fase_0_baseline.md	.md	1214	2026-04-01T17:53:09.299430-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_4_rendimiento.md	fase_4_rendimiento.md	.md	1101	2026-04-01T17:53:09.301116-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_3_cronologia.md	fase_3_cronologia.md	.md	1015	2026-04-01T17:53:09.300434-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_6_gate_final.md	fase_6_gate_final.md	.md	958	2026-04-01T17:53:09.301624-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_1_identidad.md	fase_1_identidad.md	.md	1189	2026-04-01T17:53:09.299739-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_2_sies_oferta.md	fase_2_sies_oferta.md	.md	1097	2026-04-01T17:53:09.300098-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/fases/fase_5_estado_admin.md	fase_5_estado_admin.md	.md	872	2026-04-01T17:53:09.301315-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/plantillas/plantilla_reporte_fase.md	plantilla_reporte_fase.md	.md	907	2026-04-01T17:53:09.302249-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/control_historico/plantillas/_plantilla_evidencia_columna.md	_plantilla_evidencia_columna.md	.md	310	2026-04-01T17:53:09.302017-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/tecnico/reporte_eccurydp_investigacion.txt	reporte_eccurydp_investigacion.txt	.txt	1448	2026-04-01T17:53:09.298425-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/tecnico/REVIEW.md	REVIEW.md	.md	1485	2026-04-01T17:53:09.297696-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE2_REVISADA_COMPLETADA.txt	FASE2_REVISADA_COMPLETADA.txt	.txt	5382	2026-04-01T17:53:09.296926-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE1_REVISADA_COMPLETADA.txt	FASE1_REVISADA_COMPLETADA.txt	.txt	12083	2026-04-01T17:53:09.296211-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE1_REVISADA_RESUMEN.txt	FASE1_REVISADA_RESUMEN.txt	.txt	9887	2026-04-01T17:53:09.296462-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE1_RESUMEN.txt	FASE1_RESUMEN.txt	.txt	2909	2026-04-01T17:53:09.295829-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE2_RESUMEN.txt	FASE2_RESUMEN.txt	.txt	5712	2026-04-01T17:53:09.296646-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/fases/FASE3_COMPLETADA.txt	FASE3_COMPLETADA.txt	.txt	10321	2026-04-01T17:53:09.297307-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/decisiones/DECISION_FOR_ING_ACT_2026-03-31.txt	DECISION_FOR_ING_ACT_2026-03-31.txt	.txt	1538	2026-04-01T17:53:09.295095-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/contexto_historico/decisiones/DECISION_GOBERNANZA_COLUMNAS_MU_2026-03-31.txt	DECISION_GOBERNANZA_COLUMNAS_MU_2026-03-31.txt	.txt	1291	2026-04-01T17:53:09.295302-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/legacy_runtime/codigo.py	codigo.py	.py	71617	2026-04-01T17:53:09.302869-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/backup_estable_2026/README.md	README.md	.md	58	2026-04-09T13:19:26.552484-04:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix1/terminal_run.log	terminal_run.log	.log	1410	2026-04-03T21:53:30.585972-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix1/validacion_manual_pregrado.json	validacion_manual_pregrado.json	.json	3072	2026-04-03T21:53:30.587096-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix1/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	10467098	2026-04-03T21:53:30.581133-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/resultados_audit_v2/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	10433519	2026-04-03T21:53:30.989884-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331/terminal_run.log	terminal_run.log	.log	1328	2026-04-03T21:53:30.492962-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331/validacion_manual_pregrado.json	validacion_manual_pregrado.json	.json	3158	2026-04-03T21:53:30.493523-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:30.484322-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331/manual_extract_pages_28_40.txt	manual_extract_pages_28_40.txt	.txt	35368	2026-04-03T21:53:30.492093-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix2/terminal_run.log	terminal_run.log	.log	1593	2026-04-03T21:53:30.723387-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix2/MEJORA_TRAZABILIDAD.md	MEJORA_TRAZABILIDAD.md	.md	2333	2026-04-03T21:53:30.588500-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix2/validacion_manual_pregrado.json	validacion_manual_pregrado.json	.json	3072	2026-04-03T21:53:30.724266-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix2/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	10518837	2026-04-03T21:53:30.721923-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix3/terminal_run.log	terminal_run.log	.log	1593	2026-04-01T17:53:09.623295-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix3/TRAZABILIDAD_EVOLUCION.md	TRAZABILIDAD_EVOLUCION.md	.md	2969	2026-04-01T17:53:09.518842-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix3/validacion_manual_pregrado.json	validacion_manual_pregrado.json	.json	2614	2026-04-01T17:53:09.623566-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix3/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	10433658	2026-04-01T17:53:09.622642-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/auditoria_manual_20260331_fix3/MEJORA_TRAZABILIDAD_FIX3.md	MEJORA_TRAZABILIDAD_FIX3.md	.md	217	2026-04-01T17:53:09.518286-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/stress20_report.json	stress20_report.json	.json	15729	2026-04-01T17:53:11.207912-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_07/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.712721-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_09/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858215	2026-04-03T21:53:31.884766-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_08/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858215	2026-04-03T21:53:31.777997-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_06/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.618939-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_01/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.085511-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_12/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858218	2026-04-03T21:53:32.268937-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_15/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:32.502631-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_14/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858217	2026-04-03T21:53:32.425716-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_13/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858218	2026-04-03T21:53:32.346848-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_04/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.404733-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_03/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.304538-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_02/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858215	2026-04-03T21:53:31.218832-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_05/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858216	2026-04-03T21:53:31.501434-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
archive/resultados_diagnostico/stress20/iter_18/archivo_listo_para_sies.xlsx	archivo_listo_para_sies.xlsx	.xlsx	11858215	2026-04-03T21:53:32.713790-03:00	TRACKED_OR_UNMODIFIED	código legacy o resultado histórico	SI	Inventario por ruta y metadatos; no inspecciona registros personales.
