SUBPROCESO_DESTINO	CAMPO_DESTINO	FUENTE_CANDIDATA	HOJA	COLUMNAS_ORIGEN	LLAVE	ANIO	PERIODO	GRANULARIDAD	COBERTURA_POTENCIAL	COINCIDE_UNIDAD_MEDIDA	DISTINGUE_ANUAL_ACUMULADO	DISTINGUE_SEMESTRE	DISTINGUE_CONVALIDACION	DISTINGUE_PLAN_ESTUDIOS	REQUIERE_TRANSFORMACION	RIESGO	APTO_COMO_FUENTE	TIPO_USO	BLOQUEO	EVIDENCIA	OBSERVACIONES
Carreras Avance Curricular 2026	UNIDADES_7MO_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	VIGENCIA	PROMEDIOSDEALUMNOS_7804.xlsx; DURACION_ESTUDIOS.tsv	matriz; TSV	VIGENCIA	CODIGO_UNICO	2025/2026	NO_DETERMINADO	CARRERA_PLAN	Parcial: matriz 139 codigos; DURACION 154 filas	NO	NO	NO	NO	PARCIAL	SI	Definicion de vigencia de oferta/carrera debe validarse contra instructivo Avance.	PARCIAL	FUENTE_COMPLEMENTARIA	B03	PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv; DURACION_ESTUDIOS.tsv	No reutilizar vigencia de Extranjeros ni VIG de MU sin validacion.
Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	PROMEDIOSDEALUMNOS_7804.xlsx; archivo_listo_para_sies.xlsx	Hoja1; ARCHIVO_LISTO_SUBIDA	PLAN_DE_ESTUDIO	CODCLI; RUT+CODCARR	2025	ANO/PERIODO	PERSONA_ASIGNATURA/PERSONA_CARRERA	Parcial: Hoja1 41106 filas; archivo_listo 4118 CODCLI unicos	NO	PARCIAL	SI	NO	SI	SI	Debe reconciliar PLAN_DE_ESTUDIO con CODIGO_UNICO de precarga Avance.	PARCIAL	FUENTE_COMPLEMENTARIA	B03	DOCUMENTACION_TECNICA.md:135-146; perfil PROMEDIOS	No es fuente final hasta validar llave persona-carrera.
Matrícula Avance Curricular 2026	CURSO_1ER_SEM	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ANO|PERIODO|CODRAMO|ESTADO|DESCRIPCION_ESTADO	RUT+DIG+CODCARR; CODCLI	2025	1	PERSONA_ASIGNATURA	Parcial: registros con periodo/ano; no precarga productiva	SIN_VALIDAR	PARCIAL	SI	SI	NO	SI	MATRICULA no equivale automaticamente a actividad academica; definir criterio de curso.	PARCIAL	CONTRASTE	B03	_build_mu_historico_summary en codigo_gobernanza_v2 2.py:672-757	Requiere validar si presencia de asignaturas representa CURSO_1ER_SEM.
Matrícula Avance Curricular 2026	CURSO_2DO_SEM	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	ANO|PERIODO|CODRAMO|ESTADO|DESCRIPCION_ESTADO	RUT+DIG+CODCARR; CODCLI	2025	2	PERSONA_ASIGNATURA	Parcial: registros con periodo/ano; no precarga productiva	SIN_VALIDAR	PARCIAL	SI	SI	NO	SI	MATRICULA no equivale automaticamente a actividad academica; definir criterio de curso.	PARCIAL	CONTRASTE	B03	_build_mu_historico_summary en codigo_gobernanza_v2 2.py:672-757	Requiere validar si presencia de asignaturas representa CURSO_2DO_SEM.
Matrícula Avance Curricular 2026	UNIDADES_CURSADAS	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	CODRAMO|ASIGNATURA|ANO|PERIODO|CONVALIDADO	RUT+DIG+CODCARR+CODRAMO	2025	ANUAL/SEMESTRAL	PERSONA_ASIGNATURA	Parcial: 41106 filas de asignatura	NO	PARCIAL	SI	SI	NO	SI	Cantidad de filas o asignaturas no equivale a unidad oficial; no contiene creditos.	PARCIAL	CONTRASTE	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv; codigo_gobernanza_v2 2.py:672-757	Solo candidata si unidad Avance se valida como asignatura o modulo equivalente.
Matrícula Avance Curricular 2026	UNIDADES_APROBADAS	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	DESCRIPCION_ESTADO|ESTADO|NOTA_FINAL|CONVALIDADO|CODRAMO	RUT+DIG+CODCARR+CODRAMO	2025	ANUAL/SEMESTRAL	PERSONA_ASIGNATURA	Parcial: estado/aprobacion observables	NO	PARCIAL	SI	SI	NO	SI	Nota no equivale automaticamente a aprobacion; convalidacion/homologacion requiere regla.	PARCIAL	CONTRASTE	B03	codigo_gobernanza_v2 2.py:714-718,740-750	Requiere validacion de aprobados, reprobados y transferencias.
Matrícula Avance Curricular 2026	UNID_CURSADAS_TOTAL	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	CODRAMO|ASIGNATURA|ANO|PERIODO	RUT+DIG+CODCARR	2025	ACUMULADO	PERSONA_ASIGNATURA	Parcial: anos disponibles por persona-carrera	NO	SI	PARCIAL	SI	NO	SI	Acumulado historico depende de alcance de anos disponibles; no usar si historial esta incompleto.	PARCIAL	CONTRASTE	B03	codigo_gobernanza_v2 2.py:719-751	Validar cobertura historica antes de usar.
Matrícula Avance Curricular 2026	UNID_APROBADAS_TOTAL	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	DESCRIPCION_ESTADO|ESTADO|CONVALIDADO|CODRAMO	RUT+DIG+CODCARR	2025	ACUMULADO	PERSONA_ASIGNATURA	Parcial: anos disponibles por persona-carrera	NO	SI	PARCIAL	SI	NO	SI	Acumulado aprobado depende de definicion de aprobacion/convalidacion y alcance historico.	PARCIAL	CONTRASTE	B03	codigo_gobernanza_v2 2.py:717-750	Validar RAP/convalidacion/homologacion.
Matrícula Avance Curricular 2026	VIGENCIA	DatosAlumnos; Extranjeros V2/V8	DatosAlumnos	ANOMATRICULA|PERIODOMATRICULA|FECHAMATRICULA|ESTADOACADEMICO|MATRICULA	CODCLI; RUT	2025	ANOMATRICULA	PERSONA_CARRERA	Parcial: usada para Extranjeros; no validada para Avance	NO	NO	NO	NO	NO	SI	Regla de vigencia Extranjeros explicitamente no reutilizable; MATRICULA 1/2 no debe ser vigencia.	NO	CONTRASTE	B03	generar_base_maestra_fase2 2.py:599-603; corregir_gobernanza_extranjeros_2025_v2 2.py:847-857	Necesita fuente/criterio de Avance propio.
