HOJA	POSICION	COLUMNA_ORIGINAL	COLUMNA_NORMALIZADA	TIPO_OBSERVADO	EJEMPLOS_ENMASCARADOS	NULOS	NO_NULOS	VALORES_DISTINTOS	POSIBLE_SIGNIFICADO	CAMPO_DESTINO_CANDIDATO	NIVEL_RESPALDO	TRANSFORMACION_CANDIDATA	RIESGO	ESTADO_MAPEO	OBSERVACIONES
Hoja1	14	ASIGNATURA	ASIGNATURA	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	0	41106	339	asignatura	UNIDADES_CURSADAS/UNID_CURSADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	15	EXAMEN	EXAMEN	NUMERO	<NUMERO>	19637	21469	58	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	16	NOTA_FINAL	NOTA_FINAL	CODIGO_O_TEXTO_CORTO | NUMERO	<NUMERO> | <CODIGO_O_TEXTO_CORTO>	387	40719	70	resultado académico	UNIDADES_APROBADAS/UNID_APROBADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	17	ANO	ANO	NUMERO	<NUMERO>	0	41106	2	año académico	CURSO_1ER_SEM/CURSO_2DO_SEM o filtros temporales	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	18	PERIODO	PERIODO	NUMERO	<NUMERO>	0	41106	5	periodo/semestre	CURSO_1ER_SEM/CURSO_2DO_SEM o filtros temporales	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	19	ESTADO	ESTADO	CODIGO_O_TEXTO_CORTO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO>	13038	28068	5	estado de asignatura o registro	UNIDADES_APROBADAS/UNID_APROBADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	20	DESCRIPCION_ESTADO	DESCRIPCION_ESTADO	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	13376	27730	4	NO_DETERMINADO	UNIDADES_APROBADAS/UNID_APROBADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	21	CONVALIDADO	CONVALIDADO	CODIGO_O_TEXTO_CORTO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO>	23966	17140	2	marca potencial de convalidación	separación anual/acumulado por convalidaciones	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	22	NIVEL	NIVEL	NUMERO	<NUMERO>	5	41101	20	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	23	ESTADO_ACADEMICO	ESTADO_ACADEMICO	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	5	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	24	PLAN_DE_ESTUDIO	PLAN_DE_ESTUDIO	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	72	plan de estudios candidato	PLAN_ESTUDIOS (requiere validación)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	25	PLAN_DE_ESTUDIO	PLAN_DE_ESTUDIO	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	25314	15792	107	plan de estudios candidato	PLAN_ESTUDIOS (requiere validación)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
DatosAlumnos	1	Número	NUMERO	NUMERO	<NUMERO>	0	13707	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	2	CODCLI	CODCLI	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	1	13706	10000	identificador interno de estudiante/carrera	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	3	CODCARPR	CODCARPR	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	13707	109	código interno de carrera/programa	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	4	NOMBRE_L	NOMBRE_L	CODIGO_O_TEXTO_CORTO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO>	0	13707	79	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	5	ANOMATRICULA	ANOMATRICULA	NUMERO	<NUMERO>	0	13707	14	NO_DETERMINADO	CURSO_1ER_SEM/CURSO_2DO_SEM o filtros temporales	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
DatosAlumnos	6	PERIODOMATRICULA	PERIODOMATRICULA	NUMERO	<NUMERO>	0	13707	3	NO_DETERMINADO	CURSO_1ER_SEM/CURSO_2DO_SEM o filtros temporales	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
DatosAlumnos	7	ANOINGRESO	ANOINGRESO	NUMERO	<NUMERO>	0	13707	27	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	8	PERIODOINGRESO	PERIODOINGRESO	NUMERO	<NUMERO>	0	13707	3	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	9	FECHAMATRICULA	FECHAMATRICULA	FECHA	<FECHA>	0	13707	2270	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	10	JORNADA	JORNADA	TEXTO	<TEXTO>	0	13707	5	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	11	RUT	RUT	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	10000	identificador personal	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	12	NOMBRE	NOMBRE	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	13	SEXO	SEXO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	3	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	14	ESTADOCIVIL	ESTADOCIVIL	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	13707	6	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	15	FECHANACIMIENTO	FECHANACIMIENTO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	7124	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	16	DIRECCIONPROCEDENCIA	DIRECCIONPROCEDENCIA	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	1	13706	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	17	CIUDADPROCEDENCIA	CIUDADPROCEDENCIA	CODIGO_O_TEXTO_CORTO | SI_NO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO> | <SI_NO>	0	13707	67	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	18	COMUNAPROCEDENCIA	COMUNAPROCEDENCIA	CODIGO_O_TEXTO_CORTO | NUMERO | SI_NO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO> | <SI_NO> | <NUMERO>	0	13707	288	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	19	FONOPROCEDENCIA	FONOPROCEDENCIA	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	12	13695	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	20	DIRECCIONACTUAL	DIRECCIONACTUAL	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	1	13706	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	21	CIUDADACTUAL	CIUDADACTUAL	CODIGO_O_TEXTO_CORTO | SI_NO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO> | <SI_NO>	0	13707	69	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	22	COMUNAACTUAL	COMUNAACTUAL	CODIGO_O_TEXTO_CORTO | NUMERO | SI_NO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO> | <SI_NO> | <NUMERO>	0	13707	288	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	23	FONOACTUAL	FONOACTUAL	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	24	MAIL	MAIL	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	23	13684	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	25	Mail_Inst	MAIL_INST	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	2216	11491	9610	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	26	NACIONALIDAD	NACIONALIDAD	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	0	13707	27	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	27	EMERGENCIA	EMERGENCIA	CODIGO_O_TEXTO_CORTO | NUMERO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO> | <NUMERO>	5162	8545	6537	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	28	FONOEMERGENCIA	FONOEMERGENCIA	CODIGO_O_TEXTO_CORTO | NUMERO | TEXTO	<NUMERO> | <CODIGO_O_TEXTO_CORTO> | <TEXTO>	191	13516	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	29	CODIGOCOLEGIO	CODIGOCOLEGIO	NUMERO	<NUMERO>	0	13707	1934	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	30	COLEGIO	COLEGIO	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	0	13707	1861	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	31	MODALIDAD	MODALIDAD	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	3815	9892	2	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	32	DESCRIPCION	DESCRIPCION	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	13707	6	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	33	CIUDADCOLEGIO	CIUDADCOLEGIO	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	0	13707	48	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	34	COMUNACOLEGIO	COMUNACOLEGIO	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	0	13707	251	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	35	CATEGORIA	CATEGORIA	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	2	13705	6	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	36	VIASDEADMISION	VIASDEADMISION	CODIGO_O_TEXTO_CORTO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO>	14	13693	5	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	37	MOTIVODESELECCION	MOTIVODESELECCION	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	6	13701	15	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	38	MEDIOSDEINFORMACION	MEDIOSDEINFORMACION	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	27	13680	20	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	39	VIACONSULTA	VIACONSULTA	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	4391	9316	6	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	40	NOMBREUNIVERSIDAD	NOMBREUNIVERSIDAD	CODIGO_O_TEXTO_CORTO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO>	12351	1356	63	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	41	CARRERARANTERIOR	CARRERARANTERIOR	CODIGO_O_TEXTO_CORTO | SI_NO | TEXTO	<CODIGO_O_TEXTO_CORTO> | <TEXTO> | <SI_NO>	12261	1446	844	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	42	RUTRESPONSABLEFINANCIERO	RUTRESPONSABLEFINANCIERO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	10000	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
DatosAlumnos	43	NOMBRERESPONSABLEFINANCIERO	NOMBRERESPONSABLEFINANCIERO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	13707	7821	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
