RUTA	CLASIFICACION	MENCIONES_AVANCE_SIES	POTENCIAL_MEZCLA_PROCESOS	USO_RECOMENDADO	OBSERVACIONES
control/evidencias/B_n_doc.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/catalogos/PUENTE_SIES_COMPILADO.tsv	control, auditoría o gobernanza	87	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/gate/gate_final_mu_2026.md	control, auditoría o gobernanza	2	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/pendientes/codcli_pendientes_resolucion_manual.tsv	fuente normativa	1471	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/pendientes/codcarpr_resolucion_ambigua_fase3.tsv	control, auditoría o gobernanza	83	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/auditoria_mu2026_complemento95_cierre_final/HASH_ARCHIVO_FINAL_COMPLEMENTO_95.tsv	control, auditoría o gobernanza	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/auditoria_mu2026_complemento95_cierre_final/MANIFEST_CIERRE_COMPLEMENTO_95 2.json	control, auditoría o gobernanza	3	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/auditoria_mu2026_complemento95_cierre_final/BITACORA_CIERRE_COMPLEMENTO_95.tsv	control, auditoría o gobernanza	4	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/fixtures/mu2026_validacion_cruzada/guia_comparacion.tsv	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_trace_50_codcli_niv_aca_current/01_trace_50_codcli_niv_aca.csv	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_trace_50_codcli_niv_aca_current/01_trace_50_codcli_niv_aca.tsv	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/08_ambiguo_maestro.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/03_control_vs_maestra.csv	control, auditoría o gobernanza	2589	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/06_mismatches_vs_maestra.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/07_sin_match_maestro.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/09_niv_aca_supera_max_estructural.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-11_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/04_oficial_vs_maestra.csv	control, auditoría o gobernanza	2589	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_trace_50_codcli_niv_aca_current/01_trace_50_codcli_niv_aca.csv	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_trace_50_codcli_niv_aca_current/01_trace_50_codcli_niv_aca.tsv	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/08_ambiguo_maestro.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/03_control_vs_maestra.csv	control, auditoría o gobernanza	2589	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/06_mismatches_vs_maestra.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/07_sin_match_maestro.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/09_niv_aca_supera_max_estructural.csv	control, auditoría o gobernanza	13	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/2026-04-04_22-54-51_fix5_recovery_estable/audits_reconstruccion_codigo_unico_nivmax/04_oficial_vs_maestra.csv	control, auditoría o gobernanza	2589	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/mu2026_cicib_remediacion/INFORME_CAMBIO_CICIB_MU2026.md	control, auditoría o gobernanza	18	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/mu2026_cicib_remediacion/EVIDENCIA_CAMBIO_CICIB.tsv	control, auditoría o gobernanza	6943	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/mu2026_cicib_remediacion/AUDITORIA_RUT_CICIB.tsv	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
.github/agents/avance-curricular-mu-2026.capabilities.md	otro	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
.github/agents/avance-curricular-mu-2026.agent.md	otro	3	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
.github/agents/avance-curricular-mu-2026-auditoria-validacion.agent.md	otro	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
.github/agents/avance-curricular-mu-2026.config.json	otro	4	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
tools/auditar_cambio_sies_cicib.py	otro	58	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
tools/auditar_cambio_sies_cicib 2.py	otro	58	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
