CODCLI	CODCARPR_NORM	JORNADA_FUENTE	PLAN_DE_ESTUDIO	ANIO_ING_ACT	N_CODES_SIES	CODIGOS_SIES_POTENCIALES	CODIGO_CARRERA_SIES_FINAL	SIES_MATCH_STATUS	SIES_MATCH_DIAG	SIES_RESOLUCION_HEURISTICA	SIES_CONFIANZA_POST	DURACION_ESTUDIOS_REF	FLAG_GOBERNANZA_V2	AMBIGUEDAD_ESTRUCTURAL	EFECTO_PLAN_ESTUDIOS_ALUMNO	JUSTIFICACION_AUDITORIA
20251TLOG023	TLOG	O	TLOG20241	2025	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TLOG20241. Jornada: O.
20251CIIND022	CIIND	O	CIIND20251	2025	2	I162S2C22J2V2 | I162S2C22J4V2	I162S2C22J4V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	4	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN_JORNADA); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por jornada (2 jornadas); potenciales: I162S2C22J2V2 | I162S2C22J4V2; carrera: CIIND; jornada: O; plan: CIIND20251.
20241CICRE057	CICRE	O	CICRE20241	2024	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICRE20241. Jornada: O.
20241TCIB105	TCIB	O	TCIB20241	2024	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCIB20241. Jornada: O.
20241CIINF017	CIINF	O	CIINF20241	2024	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CIINF20241. Jornada: O.
20251ICIB003	ICIB	O	ICIB20241	2025	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (3 versiones); potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3; carrera: ICIB; jornada: O; plan: ICIB20241.
20253IIND010	IIND	O	IIND20251	2025	2	I162S2C87J4V1 | I162S2C87J4V2	I162S2C87J4V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C87J4V1 | I162S2C87J4V2; carrera: IIND; jornada: O; plan: IIND20251.
20252IADM004	IADM	O	IADM20241	2025	2	I162S2C76J4V1 | I162S2C76J4V2	I162S2C76J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C76J4V1 | I162S2C76J4V2; carrera: IADM; jornada: O; plan: IADM20241.
20241ILOG010	ILOG	O	ILOG20241	2024	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ILOG20241. Jornada: O.
20241ICIB189	ICIB	O	ICIB20241	2023	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (3 versiones); potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3; carrera: ICIB; jornada: O; plan: ICIB20241.
20241TCRE062	TCRE	O	TCRE20241	2024	1	I162S2C6J4V2	I162S2C6J4V2	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCRE20241. Jornada: O.
20251ICDA038	ICDA	O	ICDA20251	2025	2	I162S2C88J4V1 | I162S2C88J4V2	I162S2C88J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C88J4V1 | I162S2C88J4V2; carrera: ICDA; jornada: O; plan: ICDA20251.
20241ICIB192	ICIB	D	ICIB20241	2024	3	I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3	I162S2C46J1V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN_JORNADA); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por jornada (2 jornadas) y versión (2 versiones); potenciales: I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3; carrera: ICIB; jornada: D; plan: ICIB20241.
20251ICRE020	ICRE	O	ICRE20241	2025	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20252ICIB025	ICIB	O	ICIB20241	2025	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (3 versiones); potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3; carrera: ICIB; jornada: O; plan: ICIB20241.
20251TPAS146	TPAS	O	TPAS20241	2025	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAS20241. Jornada: O.
20251CICRE070	CICRE	O	CICRE20241	2025	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICRE20241. Jornada: O.
20251AUDT025	AUDT	O	AUDT20251	2025	2	I162S2C86J4V1 | I162S2C86J4V2	I162S2C86J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C86J4V1 | I162S2C86J4V2; carrera: AUDT; jornada: O; plan: AUDT20251.
20251CICIB008	CICIB	O	CICIB20241	2025	1	I162S2C46J4V1	I162S2C46J4V1	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICIB20241. Jornada: O.
20243TPAS029	TPAS	O	TPAS20241	2024	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAS20241. Jornada: O.
20241TPAS071	TPAS	O	TPAS20241	2024	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAS20241. Jornada: O.
20241ICRE002	ICRE	O	ICRE20241	2024	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20253ICIB017	ICIB	O	ICIB20241	2025	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (3 versiones); potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3; carrera: ICIB; jornada: O; plan: ICIB20241.
20251CICRE063	CICRE	O	CICRE20241	2025	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICRE20241. Jornada: O.
20253ILOG007	ILOG	O	ILOG20241	2025	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ILOG20241. Jornada: O.
20251CIINF038	CIINF	O	CIINF20241	2025	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CIINF20241. Jornada: O.
20251ADMP086	ADMP	O	ADMP20251	2025	2	I162S2C83J4V1 | I162S2C83J4V2	I162S2C83J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C83J4V1 | I162S2C83J4V2; carrera: ADMP; jornada: O; plan: ADMP20251.
20251ICDA006	ICDA	O	ICDA20251	2025	2	I162S2C88J4V1 | I162S2C88J4V2	I162S2C88J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C88J4V1 | I162S2C88J4V2; carrera: ICDA; jornada: O; plan: ICDA20251.
20251IINF002	IINF	O	IINF20241	2025	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: IINF20241. Jornada: O.
20241ICRE110	ICRE	O	ICRE20241	2022	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20251TENS099	TENS	D	TENS20251	2025	2	I162S2C91J1V1 | I162S2C91J2V1	I162S2C91J1V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	5	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN_JORNADA); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por jornada (2 jornadas); potenciales: I162S2C91J1V1 | I162S2C91J2V1; carrera: TENS; jornada: D; plan: TENS20251.
20242IINF006	IINF	O	IINF20241	2024	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: IINF20241. Jornada: O.
20241ICRE117	ICRE	O	ICRE20241	2024	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20241ICRE141	ICRE	O	ICRE20241	2024	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20251TCDA017	TCDA	O	TCDA20251	2025	1	I162S2C89J4V1	I162S2C89J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCDA20251. Jornada: O.
20251TLOG083	TLOG	O	TLOG20241	2025	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TLOG20241. Jornada: O.
20251IINF124	IINF	O	IINF20241	2025	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: IINF20241. Jornada: O.
20241ICIB047	ICIB	O	ICIB20241	2024	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=3 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (3 versiones); potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3; carrera: ICIB; jornada: O; plan: ICIB20241.
20251IADM021	IADM	O	IADM20241	2025	2	I162S2C76J4V1 | I162S2C76J4V2	I162S2C76J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI	CON_AMBIGUEDAD	RESOLVERIA_AMBIGUEDAD	N_CODES_SIES=2 → existían múltiples planes SIES potenciales; el pipeline resolvió por heurística (REGLA_TIPO_PLAN); un dato maestro PLAN_ESTUDIOS_ALUMNO eliminaría esta inferencia; ambigüedad por versión curricular (2 versiones); potenciales: I162S2C76J4V1 | I162S2C76J4V2; carrera: IADM; jornada: O; plan: IADM20241.
20251TLOG063	TLOG	O	TLOG20241	2025	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TLOG20241. Jornada: O.
20241TPAS044	TPAS	O	TPAS20241	2024	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAS20241. Jornada: O.
