CODCLI	PLAN_ESTUDIOS_ALUMNO	CODIGO_CARRERA_SIES_ESPERADO	ORIGEN_MOCK
20243ICIB018	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20252IADM005	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241IINF135	SIM_IINF_D_IINF20241	I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4	SIMULACION
20252IADM018	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB174	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB032	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251TENS011	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251IADM070	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICIB114	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB020	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20243IADM021	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB131	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251ICDA015	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20242ICIB010	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB094	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND004	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20241ICIB198	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251ICIB064	SIM_ICIB_D_ICIB20241	I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3	SIMULACION
20251TCIB042	SIM_TCIB_D_TCIB20241	I162S2C47J1V1	SIMULACION
20241ICIB097	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM058	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251AUDT007	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20241ICIB179	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM004	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TPAS104	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20242ICIB003	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20253ICIB001	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241TPAS006	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20251IADM091	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251CIIND039	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251TENS016	SIM_TENS_D_TENS20251	I162S2C91J1V1 | I162S2C91J2V1	SIMULACION
20241IINF025	SIM_IINF_D_IINF20241	I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4	SIMULACION
20251CIIND041	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251ICIB024	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND037	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20241ICIB148	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20241ICIB095	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IINF067	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20251TCIB086	SIM_TCIB_D_TCIB20241	I162S2C47J1V1	SIMULACION
20251ADMP054	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20252IIND001	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20241ICIB112	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20252AUDT015	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251ADMP078	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20252AUDT022	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20241ICIB176	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20252IIND012	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251ADMP080	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20252IADM011	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251IADM042	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251IADM095	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251IADM084	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251IADM102	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252ADMP019	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251ADMP017	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251TPAS029	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20251ADMP061	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20252ICIB021	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS018	SIM_TENS_D_TENS20251	I162S2C91J1V1 | I162S2C91J2V1	SIMULACION
20251ADMP018	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251TENS084	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251ADMP051	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241IADM003	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICDA019	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20241ICIB021	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20252AUDT021	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251IINF097	SIM_IINF_D_IINF20241	I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4	SIMULACION
20251ICIB012	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20241ICIB147	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM078	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TPAS034	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20251IADM020	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICIB081	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA042	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251IINF118	SIM_IINF_D_IINF20241	I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4	SIMULACION
20252IADM013	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252ICIB006	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA043	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20241ICIB136	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251ICDA014	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20242IADM010	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252IIND026	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251ICDA002	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20241ICIB081	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB020	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20243ICIB014	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB195	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM077	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TPAS102	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20251ADMP085	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241ICIB090	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20242ICIB011	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB061	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB100	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ADMP022	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251CIIND007	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251CIIND020	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20241ICIB127	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA021	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251ICIB042	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20241ICIB092	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241TCIB076	SIM_TCIB_D_TCIB20241	I162S2C47J1V1	SIMULACION
20251ICDA039	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20241ICIB177	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20211IECSRE019	SIM_IECSRE_V_IECSRE20211	I162S2C46J2V1	SIMULACION
20241ICIB002	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM100	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252ADMP005	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251CIIND029	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251IADM090	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB087	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20252ICIB023	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS022	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251ADMP087	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251ICDA030	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251ICDA048	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251IADM046	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20253ADMP001	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241IADM007	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20242ICIB016	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20252ICIB019	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241IINF134	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20252ADMP014	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251IADM085	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB066	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB074	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20252IIND008	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20241ICIB091	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB167	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA013	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251ADMP008	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20231IECSRE015	SIM_IECSRE_V_IECSRE20211	I162S2C46J2V1	SIMULACION
20253ICIB015	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20241ICIB132	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20251IADM019	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICDA004	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251ICIB085	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241TPAS010	SIM_TPAS_D_TPAS20241	I162S2C57J1V1 | I162S2C57J2V1	SIMULACION
20241ICIB004	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB107	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB199	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM098	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251AUDT049	SIM_AUDT_O_AUDT20251	I162S2C86J4V1 | I162S2C86J4V2	SIMULACION
20251TENS115	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251TPAS115	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20241ICIB005	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
