CODCLI	CODCARPR_NORM	JORNADA_FUENTE	ANIO_ING_ACT	PLAN_DE_ESTUDIO	N_CODES_SIES	CODIGOS_SIES_POTENCIALES	CODIGO_CARRERA_SIES_FINAL	SIES_MATCH_STATUS	SIES_MATCH_DIAG	SIES_RESOLUCION_HEURISTICA	SIES_CONFIANZA_POST	DURACION_ESTUDIOS_REF	FLAG_GOBERNANZA_V2	CODIGO_UNICO_ACADEMICO	ESTADO_RESOLUCION_ACADEMICA	JUSTIFICACION_ACADEMICA
20241CICIB009	CICIB	O	2024	CICIB20241	1	I162S2C46J4V1	I162S2C46J4V1	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C46J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICIB20241. DurRef=4.
20251TLOG023	TLOG	O	2025	TLOG20241	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C79J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TLOG20241. DurRef=5.
20251CIIND022	CIIND	O	2025	CIIND20251	2	I162S2C22J2V2 | I162S2C22J4V2	I162S2C22J4V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	4	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C22J2V2 | I162S2C22J4V2. Jornada=O. Plan=CIIND20251.
20241CICRE057	CICRE	O	2024	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20241TCIB105	TCIB	O	2024	TCIB20241	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C47J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCIB20241. DurRef=5.
20241CIINF017	CIINF	O	2024	CIINF20241	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C1J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CIINF20241. DurRef=4.
20251ICIB003	ICIB	O	2025	ICIB20241	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=ICIB20241.
20253IIND010	IIND	O	2025	IIND20251	2	I162S2C87J4V1 | I162S2C87J4V2	I162S2C87J4V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C87J4V1 | I162S2C87J4V2. Jornada=O. Plan=IIND20251.
20252IADM004	IADM	O	2025	IADM20241	2	I162S2C76J4V1 | I162S2C76J4V2	I162S2C76J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C76J4V1 | I162S2C76J4V2. Jornada=O. Plan=IADM20241.
20241ILOG010	ILOG	O	2024	ILOG20241	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C77J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ILOG20241. DurRef=8.
20241ICIB189	ICIB	O	2023	ICIB20241	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=ICIB20241.
20241TCRE062	TCRE	O	2024	TCRE20241	1	I162S2C6J4V2	I162S2C6J4V2	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C6J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCRE20241. DurRef=5.
20251ICDA038	ICDA	O	2025	ICDA20251	2	I162S2C88J4V1 | I162S2C88J4V2	I162S2C88J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C88J4V1 | I162S2C88J4V2. Jornada=O. Plan=ICDA20251.
20241ICIB192	ICIB	D	2024	ICIB20241	3	I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3	I162S2C46J1V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3. Jornada=D. Plan=ICIB20241.
20251ICRE020	ICRE	O	2025	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20252ICIB025	ICIB	O	2025	ICIB20241	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=ICIB20241.
20251TPAS146	TPAS	O	2025	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20251CICRE070	CICRE	O	2025	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20251AUDT025	AUDT	O	2025	AUDT20251	2	I162S2C86J4V1 | I162S2C86J4V2	I162S2C86J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C86J4V1 | I162S2C86J4V2. Jornada=O. Plan=AUDT20251.
20251CICIB008	CICIB	O	2025	CICIB20241	1	I162S2C46J4V1	I162S2C46J4V1	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C46J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICIB20241. DurRef=4.
20243TPAS029	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20241TPAS071	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20241ICRE002	ICRE	O	2024	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20253ICIB017	ICIB	O	2025	ICIB20241	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=ICIB20241.
20251CICRE063	CICRE	O	2025	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20253ILOG007	ILOG	O	2025	ILOG20241	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C77J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ILOG20241. DurRef=8.
20251CIINF038	CIINF	O	2025	CIINF20241	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C1J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CIINF20241. DurRef=4.
20251ADMP086	ADMP	O	2025	ADMP20251	2	I162S2C83J4V1 | I162S2C83J4V2	I162S2C83J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C83J4V1 | I162S2C83J4V2. Jornada=O. Plan=ADMP20251.
20251ICDA006	ICDA	O	2025	ICDA20251	2	I162S2C88J4V1 | I162S2C88J4V2	I162S2C88J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C88J4V1 | I162S2C88J4V2. Jornada=O. Plan=ICDA20251.
20251IINF002	IINF	O	2025	IINF20241	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C1J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=IINF20241. DurRef=8.
20241ICRE110	ICRE	O	2022	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20251TENS099	TENS	D	2025	TENS20251	2	I162S2C91J1V1 | I162S2C91J2V1	I162S2C91J1V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	5	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C91J1V1 | I162S2C91J2V1. Jornada=D. Plan=TENS20251.
20242IINF006	IINF	O	2024	IINF20241	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C1J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=IINF20241. DurRef=8.
20241ICRE117	ICRE	O	2024	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20241ICRE141	ICRE	O	2024	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20251TCDA017	TCDA	O	2025	TCDA20251	1	I162S2C89J4V1	I162S2C89J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C89J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCDA20251. DurRef=5.
20251TLOG083	TLOG	O	2025	TLOG20241	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C79J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TLOG20241. DurRef=5.
20251IINF124	IINF	O	2025	IINF20241	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C1J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=IINF20241. DurRef=8.
20241ICIB047	ICIB	O	2024	ICIB20241	3	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=3 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=ICIB20241.
20251IADM021	IADM	O	2025	IADM20241	2	I162S2C76J4V1 | I162S2C76J4V2	I162S2C76J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C76J4V1 | I162S2C76J4V2. Jornada=O. Plan=IADM20241.
20251TLOG063	TLOG	O	2025	TLOG20241	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C79J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TLOG20241. DurRef=5.
20241TPAS044	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20252IIND018	IIND	O	2025	IIND20251	2	I162S2C87J4V1 | I162S2C87J4V2	I162S2C87J4V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C87J4V1 | I162S2C87J4V2. Jornada=O. Plan=IIND20251.
20241TLOG021	TLOG	O	2024	TLOG20241	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C79J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TLOG20241. DurRef=5.
20241IINF022	IINF	O	2024	IINF20241	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C1J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=IINF20241. DurRef=8.
20251TPAS137	TPAS	O	2025	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20251TADP028	TADP	O	2025	TADP20251	1	I162S2C84J4V1	I162S2C84J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C84J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TADP20251. DurRef=5.
20241CICRE056	CICRE	O	2024	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20241TPAS005	TPAS	V	2024	TPAS20241	1	I162S2C57J2V1	I162S2C57J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J2V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=V. Plan=TPAS20241. DurRef=5.
20251ICRE028	ICRE	O	2025	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20251TAMD091	TAMD	V	2025	TAMD20241	1	I162S2C78J2V1	I162S2C78J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C78J2V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=V. Plan=TAMD20241. DurRef=5.
20241ICRE087	ICRE	O	2023	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20231IECSREOL025	IECSREOL	O	2023	IECSREOL20211	7	I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	I162S2C46J4V3	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=7 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3. Jornada=O. Plan=IECSREOL20211.
20251ADMP083	ADMP	O	2025	ADMP20251	2	I162S2C83J4V1 | I162S2C83J4V2	I162S2C83J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C83J4V1 | I162S2C83J4V2. Jornada=O. Plan=ADMP20251.
20251TENS119	TENS	D	2025	TENS20251	2	I162S2C91J1V1 | I162S2C91J2V1	I162S2C91J1V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	5	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C91J1V1 | I162S2C91J2V1. Jornada=D. Plan=TENS20251.
20251IINF115	IINF	D	2025	IINF20241	5	I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4	I162S2C1J1V2	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN_JORNADA	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=5 ambiguo. Heurística [REGLA_TIPO_PLAN_JORNADA] IGNORADA. Potenciales: I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4. Jornada=D. Plan=IINF20241.
20251CICRE042	CICRE	O	2025	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20243TPAS023	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20251AUDT018	AUDT	O	2025	AUDT20251	2	I162S2C86J4V1 | I162S2C86J4V2	I162S2C86J4V1	MATCH_SIES	MATCH_SIES_AMBIGUO	REGLA_TIPO_PLAN	95%	8	SI		REQUIERE_VALIDACION_ACADEMICA	N_CODES_SIES=2 ambiguo. Heurística [REGLA_TIPO_PLAN] IGNORADA. Potenciales: I162S2C86J4V1 | I162S2C86J4V2. Jornada=O. Plan=AUDT20251.
20242TPAS008	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20251TPAS051	TPAS	O	2025	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
