CODCLI	CODCARR	CARRERA	JORNADA	PLAN_DE_ESTUDIO	ANOINGRESO	ANOINGRESO_FUENTE	N_CODCARPR	CODCARPR_LIST	CODCARPR_VALS	REQUIERE_REVISION
20261COTENS003	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS007	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS008	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS009	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS011	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS012	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS013	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS014	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS016	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS017	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS019	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS022	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS024	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS025	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS026	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS027	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS028	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261COTENS029	COTENS	TECNICO EN ENFERMERIA	V	COTENS20261	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS002	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS006	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS011	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS012	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS013	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS017	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS020	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS028	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS039	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS045	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS047	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS048	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS049	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS051	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS052	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS056	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS064	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS065	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS068	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS069	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS070	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS072	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS073	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS074	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS075	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS077	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS080	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
20261TENS081	TENS	TECNICO EN ENFERMERIA	V	TENS20251	2026	DatosAlumnos:ANOINGRESO	2	TENS|COTENS	TENS:121|COTENS:26	SI
