fila_excel_aproximada,CODIGO_UNICO,NOMBRE_CARRERA,CNED_ESTADO_AUDITORIA,CNED_ALERTAS,CNED_PUEDE_SUBIR_PRELIMINAR
60,I162S2C86J4V2,AUDITORIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
61,I162S2C87J4V2,INGENIERIA INDUSTRIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
62,I162S2C88J4V2,INGENIERIA EN CIENCIA DE DATOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
63,I162S2C90J2V1,NATUROPATIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
64,I162S2C90J2V2,NATUROPATIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
65,I162S2C95J4V1,DIPLOMADO EN INTELIGENCIA ARTIFICIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
66,I162S2C96J4V1,DIPLOMADO EN GOBERNANZA DE DATOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
67,I162S2C97J4V1,DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
68,I162S2C98J4V1,DIPLOMADO EN HABILIDADES DIRECTIVAS PARA PROFESIONALES STEM,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
69,I162S2C99J4V1,DIPLOMADO EN GESTION PUBLICA LOCAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
70,I162S3C114J2V1,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
71,I162S3C115J2V1,TECNICO EN FARMACIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
72,I162S3C91J2V1,TECNICO EN ENFERMERIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
