nombre_original,nombre_normalizado,tipo_inferido,valores_no_nulos,valores_nulos,porcentaje_completitud,valores_unicos,ejemplos_valores_unicos,largo_maximo,contiene_posibles_codigos,contiene_posibles_textos_largos,contiene_posibles_fechas,contiene_posibles_numericos,alertas_columna
Detalle del Tipo de Programa (especiales),DETALLE_DEL_TIPO_DE_PROGRAMA_ESPECIALES,TEXTO_CATEGORICO,71,0,100.0,2,No aplica | REVISAR_DETALLE_PROGRAMA_ESPECIAL,33,NO,NO,NO,NO,
Modalidad del Programa,MODALIDAD_DEL_PROGRAMA,TEXTO_CATEGORICO,71,0,100.0,3,No presencial | Presencial | REVISAR_MODALIDAD_2,19,SI,NO,NO,NO,
Área del Conocimiento,AREA_DEL_CONOCIMIENTO,TEXTO_CATEGORICO,71,0,100.0,9,REVISAR_AREA_CODIGO_1 | REVISAR_AREA_CODIGO_10 | REVISAR_AREA_CODIGO_4 | REVISAR_AREA_CODIGO_6 | REVISAR_AREA_CODIGO_7 | REVISAR_AREA_CODIGO_8 | REVISAR_AREA_CODIGO_9 | REVISAR_AREA_CONOCIMIENTO_10 | REVISAR_AREA_SIN_FUENTE_DIRECTA,31,NO,NO,NO,NO,
Sub Área,SUB_AREA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,35,NO,NO,NO,NO,
Carrera Genérica,CARRERA_GENERICA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,43,NO,NO,NO,NO,
Título que otorga el programa,TITULO_QUE_OTORGA_EL_PROGRAMA,TEXTO_CATEGORICO,71,0,100.0,47,ADMINISTRADOR PUBLICO | CONTADOR AUDITOR | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN ARQUITECTURA CLOUD | DIPLOMADO EN BACKEND | DIPLOMADO EN CIBERSEGURIDAD APLICADA | DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL | DIPLOMADO EN FRONTEND | DIPLOMADO EN FULLSTACK | DIPLOMADO EN GESTION PUBLICA LOCAL,64,NO,NO,NO,NO,
Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,42,NO,NO,NO,NO,
Dependencia,DEPENDENCIA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,38,NO,NO,NO,NO,
Régimen,REGIMEN,TEXTO_CATEGORICO,71,0,100.0,4,REVISAR_REGIMEN_CODIGO_1 | REVISAR_REGIMEN_CODIGO_2 | REVISAR_REGIMEN_MATCH_AMBIGUO | REVISAR_REGIMEN_SIN_FUENTE,29,NO,NO,NO,NO,
Duración del programa en Semestres,DURACION_DEL_PROGRAMA_EN_SEMESTRES,NUMERICA,71,0,100.0,6,1 | 2 | 4 | 5 | 6 | 8,1,NO,NO,NO,SI,
Ingreso Directo,INGRESO_DIRECTO,TEXTO_CATEGORICO,71,0,100.0,6,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_INGRESO_DIRECTO_MATCH_AMBIGUO | REVISAR_INGRESO_DIRECTO_SIN_FUENTE_DIRECTA,74,NO,NO,NO,NO,
Ingreso desde un plan Común,INGRESO_DESDE_UN_PLAN_COMUN,TEXTO_CATEGORICO,71,0,100.0,1,NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN,34,NO,NO,NO,NO,
Ingreso desde Bachillerato,INGRESO_DESDE_BACHILLERATO,TEXTO_CATEGORICO,71,0,100.0,1,NO_APLICA_SIN_EVIDENCIA_BACHILLERATO,36,NO,NO,NO,NO,
Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,TEXTO_CATEGORICO,71,0,100.0,5,NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2 | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_4 | REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5 | REVISAR_OTRO_TIPO_INGRESO_MATCH_AMBIGUO,76,NO,NO,NO,NO,
Ingreso otro,INGRESO_OTRO,TEXTO_CATEGORICO,71,0,100.0,3,NO APLICA | REVISAR_DESCRIPCION_OTRO_INGRESO_MATCH_AMBIGUO | REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,49,NO,NO,NO,NO,
Observaciones,OBSERVACIONES,TEXTO_LARGO,71,0,100.0,3,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Requiere revisión por match no directo/ambiguo; no completar campos críticos por inferencia. | Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica; Revisión por alternativa estructural no exacta: I162S2C6J4V2.,317,NO,SI,NO,NO,
ANIO_INICIO,ANIO_INICIO,TEXTO_CATEGORICO,71,0,100.0,11,1992 | 2002 | 2013 | 2017 | 2019 | 2023 | 2024 | 2025 | 2026 | CONFLICTO_REVISAR_ANIO_INICIO_MATCH_AMBIGUO,43,NO,NO,NO,NO,
REGIMEN,REGIMEN,TEXTO_CATEGORICO,71,0,100.0,4,1 | 2 | CONFLICTO_REVISAR_REGIMEN_MATCH_AMBIGUO | REVISAR_REGIMEN_SIN_FUENTE,39,NO,NO,NO,NO,
DURACION_REGIMEN,DURACION_REGIMEN,TEXTO_CATEGORICO,71,0,100.0,9,1 | 12 | 2 | 4 | 5 | 6 | 7 | CONFLICTO_REVISAR_DURACION_REGIMEN_MATCH_AMBIGUO | REVISAR_DURACION_REGIMEN_SIN_FUENTE,48,NO,NO,NO,NO,
NOMBRE_TITULO,NOMBRE_TITULO,TEXTO_CATEGORICO,71,0,100.0,47,ADMINISTRADOR PUBLICO | CONFLICTO_REVISAR_NOMBRE_TITULO_MATCH_NO_UNICO | CONTADOR AUDITOR | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS | DIPLOMADO EN ARQUITECTURA CLOUD | DIPLOMADO EN BACKEND | DIPLOMADO EN CIBERSEGURIDAD APLICADA | DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL | DIPLOMADO EN FRONTEND | DIPLOMADO EN FULLSTACK,64,NO,NO,NO,NO,
ACREDITACION,ACREDITACION,TEXTO_CATEGORICO,71,0,100.0,3,2 | CONFLICTO_REVISAR_ACREDITACION_MATCH_NO_UNICO | REVISAR_ACREDITACION_SIN_FUENTE,45,NO,NO,NO,NO,
REQUISITO_INGRESO,REQUISITO_INGRESO,TEXTO_CATEGORICO,71,0,100.0,4,1 | 2 | CONFLICTO_REVISAR_REQUISITO_INGRESO_MATCH_NO_UNICO | REVISAR_REQUISITO_INGRESO_SIN_FUENTE,50,NO,NO,NO,NO,
SEMESTRES_RECONOCIDOS,SEMESTRES_RECONOCIDOS,TEXTO_CATEGORICO,71,0,100.0,5,0 | 4 | 5 | CONFLICTO_REVISAR_SEMESTRES_RECONOCIDOS_MATCH_NO_UNICO | REVISAR_SEMESTRES_RECONOCIDOS_SIN_FUENTE,54,SI,NO,NO,NO,
AREA_ACTUAL,AREA_ACTUAL,TEXTO_CATEGORICO,71,0,100.0,9,1 | 10 | 4 | 6 | 7 | 8 | 9 | CONFLICTO_REVISAR_AREA_ACTUAL_MATCH_NO_UNICO | REVISAR_AREA_ACTUAL_SIN_FUENTE,44,NO,NO,NO,NO,
AREA_ADMIN_DERECHO,AREA_ADMIN_DERECHO,TEXTO_CATEGORICO,71,0,100.0,4,0 | 1 | CONFLICTO_REVISAR_AREA_ADMIN_DERECHO_MATCH_NO_UNICO | REVISAR_AREA_ADMIN_DERECHO_SIN_FUENTE,51,NO,NO,NO,NO,
AREA_AGRI_SILVI_PESCA_VET,AREA_AGRI_SILVI_PESCA_VET,TEXTO_CATEGORICO,71,0,100.0,3,0 | CONFLICTO_REVISAR_AREA_AGRI_SILVI_PESCA_VET_MATCH_NO_UNICO | REVISAR_AREA_AGRI_SILVI_PESCA_VET_SIN_FUENTE,58,NO,NO,NO,NO,
AREA_ARTES_HUMANIDADES,AREA_ARTES_HUMANIDADES,TEXTO_CATEGORICO,71,0,100.0,3,0 | CONFLICTO_REVISAR_AREA_ARTES_HUMANIDADES_MATCH_NO_UNICO | REVISAR_AREA_ARTES_HUMANIDADES_SIN_FUENTE,55,SI,NO,NO,NO,
AREA_CIENCIAS_NAT_MAT_ESTAD,AREA_CIENCIAS_NAT_MAT_ESTAD,TEXTO_CATEGORICO,71,0,100.0,4,0 | 1 | CONFLICTO_REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_MATCH_NO_UNICO | REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_SIN_FUENTE,60,NO,NO,NO,NO,
AREA_CS_SOCIAL_PERIODISMO_INFO,AREA_CS_SOCIAL_PERIODISMO_INFO,TEXTO_CATEGORICO,71,0,100.0,3,0 | CONFLICTO_REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_MATCH_NO_UNICO | REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_SIN_FUENTE,63,NO,NO,NO,NO,
AREA_EDUCACION,AREA_EDUCACION,TEXTO_CATEGORICO,71,0,100.0,3,0 | CONFLICTO_REVISAR_AREA_EDUCACION_MATCH_NO_UNICO | REVISAR_AREA_EDUCACION_SIN_FUENTE,47,NO,NO,NO,NO,
AREA_INGE_INDUSTRIA_CONSTRUC,AREA_INGE_INDUSTRIA_CONSTRUC,TEXTO_CATEGORICO,71,0,100.0,3,0 | CONFLICTO_REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_MATCH_NO_UNICO | REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_SIN_FUENTE,61,NO,NO,NO,NO,
AREA_SALUD_BIENESTAR,AREA_SALUD_BIENESTAR,TEXTO_CATEGORICO,71,0,100.0,4,0 | 1 | CONFLICTO_REVISAR_AREA_SALUD_BIENESTAR_MATCH_NO_UNICO | REVISAR_AREA_SALUD_BIENESTAR_SIN_FUENTE,53,NO,NO,NO,NO,
AREA_SERVICIOS,AREA_SERVICIOS,TEXTO_CATEGORICO,71,0,100.0,4,0 | 1 | CONFLICTO_REVISAR_AREA_SERVICIOS_MATCH_NO_UNICO | REVISAR_AREA_SERVICIOS_SIN_FUENTE,47,NO,NO,NO,NO,
AREA_TECNO_INFO_COMUNICA,AREA_TECNO_INFO_COMUNICA,TEXTO_CATEGORICO,71,0,100.0,4,0 | 1 | CONFLICTO_REVISAR_AREA_TECNO_INFO_COMUNICA_MATCH_NO_UNICO | REVISAR_AREA_TECNO_INFO_COMUNICA_SIN_FUENTE,57,NO,NO,NO,NO,
VACANTES_PRIMER_SEMESTRE,VACANTES_PRIMER_SEMESTRE,TEXTO_CATEGORICO,71,0,100.0,15,0 | 10 | 20 | 25 | 30 | 36 | 45 | 5 | 55 | 60,57,NO,NO,NO,NO,
VACANTES_SEGUNDO_SEMESTRE,VACANTES_SEGUNDO_SEMESTRE,TEXTO_CATEGORICO,71,0,100.0,4,0 | 25 | CONFLICTO_REVISAR_VACANTES_SEGUNDO_SEMESTRE_MATCH_NO_UNICO | REVISAR_VACANTES_SEGUNDO_SEMESTRE_SIN_FUENTE,58,NO,NO,NO,NO,
FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,41,NO,NO,NO,NO,
MALLA_CURRICULAR,MALLA_CURRICULAR,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,35,NO,NO,NO,NO,
PERFIL_EGRESO,PERFIL_EGRESO,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_PERFIL_EGRESO_SIN_FUENTE,32,NO,NO,NO,NO,
TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,42,NO,NO,NO,NO,
LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,37,NO,NO,NO,NO,
NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,34,NO,NO,NO,NO,
PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,41,NO,NO,NO,NO,
RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,48,NO,NO,NO,NO,
EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,38,NO,NO,NO,NO,
OTROS_REQUISITOS,OTROS_REQUISITOS,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,35,NO,NO,NO,NO,
MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,40,NO,NO,NO,NO,
FORMATO_VALOR,FORMATO_VALOR,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_FORMATO_VALOR_SIN_FUENTE,32,NO,NO,NO,NO,
VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,40,NO,NO,NO,NO,
COSTO_TITULACION,COSTO_TITULACION,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_COSTO_TITULACION_SIN_FUENTE,35,NO,NO,NO,NO,
VALOR_CERTIFICADO_DIPLOMA,VALOR_CERTIFICADO_DIPLOMA,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,44,NO,NO,NO,NO,
ARANCEL_ANUAL,ARANCEL_ANUAL,TEXTO_CATEGORICO,71,0,100.0,1,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,32,NO,NO,NO,NO,
VIGENCIA_CARRERA,VIGENCIA_CARRERA,TEXTO_CATEGORICO,71,0,100.0,2,1 | REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA,43,NO,NO,NO,NO,
MATCH_STATUS,MATCH_STATUS,TEXTO_CATEGORICO,71,0,100.0,2,MATCH_AMBIGUO | MATCH_UNICO,13,NO,NO,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
MATCH_METHOD,MATCH_METHOD,TEXTO_CATEGORICO,71,0,100.0,3,MATCH_R1_CODIGO_UNICO_DERIVADO | MATCH_R3_ESTRUCTURAL_FUERTE | MATCH_R4_AUXILIAR_AMBIGUO,30,NO,NO,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
MATCH_KEY,MATCH_KEY,TEXTO_CATEGORICO,71,0,100.0,71,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1 | I162S2C111J4V2 | I162S2C112J4V1,14,NO,NO,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
MATCH_COUNT,MATCH_COUNT,NUMERICA,71,0,100.0,2,1 | 3,1,NO,NO,NO,SI,PARECE_AUXILIAR_NO_OFICIAL
MATCH_CODIGO_UNICO_DERIVADO,MATCH_CODIGO_UNICO_DERIVADO,TEXTO_CATEGORICO,71,0,100.0,71,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1 | I162S2C111J4V2 | I162S2C112J4V1,56,SI,NO,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
