fila_excel_aproximada,columna,columna_normalizada,valor_completo,patron_detectado,tipo_columna,severidad_preliminar,clasificacion_marca,CODIGO_UNICO
2,FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,MALLA_CURRICULAR,MALLA_CURRICULAR,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,PERFIL_EGRESO,PERFIL_EGRESO,REVISAR_PERFIL_EGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,OTROS_REQUISITOS,OTROS_REQUISITOS,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,FORMATO_VALOR,FORMATO_VALOR,REVISAR_FORMATO_VALOR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,COSTO_TITULACION,COSTO_TITULACION,REVISAR_COSTO_TITULACION_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,VALOR_CERTIFICADO_DIPLOMA,VALOR_CERTIFICADO_DIPLOMA,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,ARANCEL_ANUAL,ARANCEL_ANUAL,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,VIGENCIA_CARRERA,VIGENCIA_CARRERA,REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C101J4V1
2,CNED_ESTADO_AUDITORIA,CNED_ESTADO_AUDITORIA,REQUIERE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C101J4V1
2,CNED_ALERTAS,CNED_ALERTAS,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C101J4V1
2,CNED_PUEDE_SUBIR_PRELIMINAR,CNED_PUEDE_SUBIR_PRELIMINAR,REVISAR,REVISAR,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C101J4V1
3,Área del Conocimiento,AREA_DEL_CONOCIMIENTO,REVISAR_AREA_CODIGO_8,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Sub Área,SUB_AREA,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Carrera Genérica,CARRERA_GENERICA,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Dependencia,DEPENDENCIA,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Régimen,REGIMEN,REVISAR_REGIMEN_CODIGO_1,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C102J4V1
3,Ingreso Directo,INGRESO_DIRECTO,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Ingreso otro,INGRESO_OTRO,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,Observaciones,OBSERVACIONES,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.,REVISION,DESCONOCIDA,MEDIA,OBSERVACION_INSTITUCIONAL,I162S2C102J4V1
3,FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,MALLA_CURRICULAR,MALLA_CURRICULAR,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,PERFIL_EGRESO,PERFIL_EGRESO,REVISAR_PERFIL_EGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,OTROS_REQUISITOS,OTROS_REQUISITOS,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,FORMATO_VALOR,FORMATO_VALOR,REVISAR_FORMATO_VALOR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,COSTO_TITULACION,COSTO_TITULACION,REVISAR_COSTO_TITULACION_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,VALOR_CERTIFICADO_DIPLOMA,VALOR_CERTIFICADO_DIPLOMA,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,ARANCEL_ANUAL,ARANCEL_ANUAL,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C102J4V1
3,VIGENCIA_CARRERA,VIGENCIA_CARRERA,REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C102J4V1
3,CNED_ESTADO_AUDITORIA,CNED_ESTADO_AUDITORIA,REQUIERE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C102J4V1
3,CNED_ALERTAS,CNED_ALERTAS,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C102J4V1
3,CNED_PUEDE_SUBIR_PRELIMINAR,CNED_PUEDE_SUBIR_PRELIMINAR,REVISAR,REVISAR,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C102J4V1
4,Área del Conocimiento,AREA_DEL_CONOCIMIENTO,REVISAR_AREA_CODIGO_8,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Sub Área,SUB_AREA,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Carrera Genérica,CARRERA_GENERICA,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Dependencia,DEPENDENCIA,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Régimen,REGIMEN,REVISAR_REGIMEN_CODIGO_1,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C103J4V1
4,Ingreso Directo,INGRESO_DIRECTO,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Ingreso otro,INGRESO_OTRO,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,Observaciones,OBSERVACIONES,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.,REVISION,DESCONOCIDA,MEDIA,OBSERVACION_INSTITUCIONAL,I162S2C103J4V1
4,FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,MALLA_CURRICULAR,MALLA_CURRICULAR,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,PERFIL_EGRESO,PERFIL_EGRESO,REVISAR_PERFIL_EGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,OTROS_REQUISITOS,OTROS_REQUISITOS,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,FORMATO_VALOR,FORMATO_VALOR,REVISAR_FORMATO_VALOR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,COSTO_TITULACION,COSTO_TITULACION,REVISAR_COSTO_TITULACION_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,VALOR_CERTIFICADO_DIPLOMA,VALOR_CERTIFICADO_DIPLOMA,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,ARANCEL_ANUAL,ARANCEL_ANUAL,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C103J4V1
4,VIGENCIA_CARRERA,VIGENCIA_CARRERA,REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C103J4V1
4,CNED_ESTADO_AUDITORIA,CNED_ESTADO_AUDITORIA,REQUIERE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C103J4V1
4,CNED_ALERTAS,CNED_ALERTAS,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C103J4V1
4,CNED_PUEDE_SUBIR_PRELIMINAR,CNED_PUEDE_SUBIR_PRELIMINAR,REVISAR,REVISAR,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C103J4V1
5,Área del Conocimiento,AREA_DEL_CONOCIMIENTO,REVISAR_AREA_CODIGO_6,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Sub Área,SUB_AREA,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Carrera Genérica,CARRERA_GENERICA,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Dependencia,DEPENDENCIA,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Régimen,REGIMEN,REVISAR_REGIMEN_CODIGO_1,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C104J4V1
5,Ingreso Directo,INGRESO_DIRECTO,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Ingreso otro,INGRESO_OTRO,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,Observaciones,OBSERVACIONES,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.,REVISION,DESCONOCIDA,MEDIA,OBSERVACION_INSTITUCIONAL,I162S2C104J4V1
5,FECHA_ADMISION_INICIAL,FECHA_ADMISION_INICIAL,REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,MALLA_CURRICULAR,MALLA_CURRICULAR,REVISAR_MALLA_CURRICULAR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,PERFIL_EGRESO,PERFIL_EGRESO,REVISAR_PERFIL_EGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,TEXTO_REQUISITO_INGRESO,TEXTO_REQUISITO_INGRESO,REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,LICENCIA_ENS_MEDIA,LICENCIA_ENS_MEDIA,REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,NOTAS_ENS_MEDIA,NOTAS_ENS_MEDIA,REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,PROMEDIO_MIN_ENS_MEDIA,PROMEDIO_MIN_ENS_MEDIA,REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,RECONOCIMIENTOS_APREN_PREVIOS,RECONOCIMIENTOS_APREN_PREVIOS,REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,EXPERIENCIA_LABORAL,EXPERIENCIA_LABORAL,REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,OTROS_REQUISITOS,OTROS_REQUISITOS,REVISAR_OTROS_REQUISITOS_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,MAIL_DIFUSION_CARRERA,MAIL_DIFUSION_CARRERA,REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,FORMATO_VALOR,FORMATO_VALOR,REVISAR_FORMATO_VALOR_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,VALOR_MATRICULA_ANUAL,VALOR_MATRICULA_ANUAL,REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,COSTO_TITULACION,COSTO_TITULACION,REVISAR_COSTO_TITULACION_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,VALOR_CERTIFICADO_DIPLOMA,VALOR_CERTIFICADO_DIPLOMA,REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,ARANCEL_ANUAL,ARANCEL_ANUAL,REVISAR_ARANCEL_ANUAL_SIN_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C104J4V1
5,VIGENCIA_CARRERA,VIGENCIA_CARRERA,REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C104J4V1
5,CNED_ESTADO_AUDITORIA,CNED_ESTADO_AUDITORIA,REQUIERE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C104J4V1
5,CNED_ALERTAS,CNED_ALERTAS,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISION,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C104J4V1
5,CNED_PUEDE_SUBIR_PRELIMINAR,CNED_PUEDE_SUBIR_PRELIMINAR,REVISAR,REVISAR,AUXILIAR_TECNICA,BAJA,MARCA_TECNICA_REMOVIBLE,I162S2C104J4V1
6,Área del Conocimiento,AREA_DEL_CONOCIMIENTO,REVISAR_AREA_CODIGO_8,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C105J4V1
6,Sub Área,SUB_AREA,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C105J4V1
