campo,tipo_campo,total_marcas,total_registros_afectados,clasificacion_hito7,fuente_o_decision_requerida,decision_institucional,observacion
NOTAS_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
OTROS_REQUISITOS,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Observaciones,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,TRAZABILIDAD,,No excluir ni completar sin instructivo CNED o decision institucional.
PERFIL_EGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
PROMEDIO_MIN_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
RECONOCIMIENTOS_APREN_PREVIOS,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Sub Área,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
TEXTO_REQUISITO_INGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
VALOR_CERTIFICADO_DIPLOMA,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,FINANZAS_ARANCELES,,No excluir ni completar sin instructivo CNED o decision institucional.
VALOR_MATRICULA_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,FINANZAS_ARANCELES,,No excluir ni completar sin instructivo CNED o decision institucional.
Área del Conocimiento,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Ingreso otro,FORMULARIO_CNED_DESCONOCIDO,35,35,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Otro Tipo de Ingreso,FORMULARIO_CNED_DESCONOCIDO,35,35,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Detalle del Tipo de Programa (especiales),FORMULARIO_CNED_DESCONOCIDO,14,14,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_ADMIN_DERECHO,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_AGRI_SILVI_PESCA_VET,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_ARTES_HUMANIDADES,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_CIENCIAS_NAT_MAT_ESTAD,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_CS_SOCIAL_PERIODISMO_INFO,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_EDUCACION,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_INGE_INDUSTRIA_CONSTRUC,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_SALUD_BIENESTAR,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_SERVICIOS,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
AREA_TECNO_INFO_COMUNICA,FORMULARIO_CNED_DESCONOCIDO,11,11,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
VACANTES_PRIMER_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
VACANTES_SEGUNDO_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Año de inicio de Actividades,FORMULARIO_CNED_DESCONOCIDO,10,10,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Título que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,10,10,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Campus,FORMULARIO_CNED_DESCONOCIDO,3,3,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Modalidad del Programa,FORMULARIO_CNED_DESCONOCIDO,2,2,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Horario,FORMULARIO_CNED_DESCONOCIDO,1,1,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
