campo,tipo_campo,total_marcas,total_registros_afectados,severidad_maxima,accion_recomendada,fuente_sugerida,bloquea_subida,se_puede_excluir,observacion
RECONOCIMIENTOS_APREN_PREVIOS,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Sub Área,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
TEXTO_REQUISITO_INGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
VALOR_CERTIFICADO_DIPLOMA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.
VALOR_MATRICULA_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.
Área del Conocimiento,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Ingreso otro,FORMULARIO_CNED_DESCONOCIDO,35,35,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Otro Tipo de Ingreso,FORMULARIO_CNED_DESCONOCIDO,35,35,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Detalle del Tipo de Programa (especiales),FORMULARIO_CNED_DESCONOCIDO,14,14,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_ADMIN_DERECHO,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_AGRI_SILVI_PESCA_VET,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_ARTES_HUMANIDADES,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_CIENCIAS_NAT_MAT_ESTAD,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_CS_SOCIAL_PERIODISMO_INFO,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_EDUCACION,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_INGE_INDUSTRIA_CONSTRUC,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_SALUD_BIENESTAR,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_SERVICIOS,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
AREA_TECNO_INFO_COMUNICA,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
VACANTES_PRIMER_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
VACANTES_SEGUNDO_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Año de inicio de Actividades,FORMULARIO_CNED_DESCONOCIDO,10,10,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Título que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,10,10,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Campus,FORMULARIO_CNED_DESCONOCIDO,3,3,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Modalidad del Programa,FORMULARIO_CNED_DESCONOCIDO,2,2,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Horario,FORMULARIO_CNED_DESCONOCIDO,1,1,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
