campo,tipo_campo,total_marcas,total_registros_afectados,severidad_maxima,accion_recomendada,fuente_sugerida,bloquea_subida,se_puede_excluir,observacion,campo_normalizado,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS,IMPACTO_HITO7BIS
VALOR_MATRICULA_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.,VALOR_MATRICULA_ANUAL,Valor de la Matrícula,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Área del Conocimiento,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_DEL_CONOCIMIENTO,"Área, Subárea, Carrera genérica",EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Ingreso otro,FORMULARIO_CNED_DESCONOCIDO,35,35,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,INGRESO_OTRO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
Otro Tipo de Ingreso,FORMULARIO_CNED_DESCONOCIDO,35,35,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,OTRO_TIPO_DE_INGRESO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
Detalle del Tipo de Programa (especiales),FORMULARIO_CNED_DESCONOCIDO,14,14,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,DETALLE_DEL_TIPO_DE_PROGRAMA_ESPECIALES,Detalle del Tipo de Programa (especiales),EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
AREA_ADMIN_DERECHO,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_ADMIN_DERECHO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_AGRI_SILVI_PESCA_VET,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_AGRI_SILVI_PESCA_VET,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_ARTES_HUMANIDADES,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_ARTES_HUMANIDADES,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_CIENCIAS_NAT_MAT_ESTAD,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_CIENCIAS_NAT_MAT_ESTAD,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_CS_SOCIAL_PERIODISMO_INFO,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_CS_SOCIAL_PERIODISMO_INFO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_EDUCACION,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_EDUCACION,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_INGE_INDUSTRIA_CONSTRUC,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_INGE_INDUSTRIA_CONSTRUC,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_SALUD_BIENESTAR,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_SALUD_BIENESTAR,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_SERVICIOS,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_SERVICIOS,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
AREA_TECNO_INFO_COMUNICA,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,AREA_TECNO_INFO_COMUNICA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
VACANTES_PRIMER_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,VACANTES_PRIMER_SEMESTRE,Vacantes Primer Semestre,EXACTO_NORMALIZADO,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL,REQUIERE_VALIDACION_DE_EQUIVALENCIA
VACANTES_SEGUNDO_SEMESTRE,FORMULARIO_CNED_DESCONOCIDO,11,11,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,VACANTES_SEGUNDO_SEMESTRE,Vacantes Segundo Semestre,EXACTO_NORMALIZADO,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL,REQUIERE_VALIDACION_DE_EQUIVALENCIA
Año de inicio de Actividades,FORMULARIO_CNED_DESCONOCIDO,10,10,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,ANO_DE_INICIO_DE_ACTIVIDADES,Año de Inicio de actividades,EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Título que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,10,10,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,TITULO_QUE_OTORGA_EL_PROGRAMA,Título,CONTIENE_O_CONTENIDO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
