CODIGO_KPI,INDICADOR,DIMENSION,ANIO_PERIODO,VALOR,UNIDAD,SEMAFORO,PUBLICABILIDAD,OBSERVACION
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,2023,40.5,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,2023,10,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,2023,2.857143,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,2023,1202,horas,AMARILLO,PUBLICABLE,No equivale automáticamente a JCE.
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,2023,17.171429,horas,AMARILLO,PUBLICABLE,Promedio descriptivo.
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,2023,12,horas,AMARILLO,PUBLICABLE,Mediana descriptiva.
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,2023,33.693844,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,2023,66.306156,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,2023,12.857143,%,ROJO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,2023,9,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,2023,0,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,2023,15.714286,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,2023,65.714286,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,2023,18.571429,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,2023,15.714286,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupa códigos oficiales 1 y 2.
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,2023,87.142857,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,2023,10,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupación descriptiva de cargos oficiales.
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,2023,2.857143,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,2023,6,programas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Homologación textual conservadora.
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,2023,32.857143,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,2023,82.857143,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,2023,0.258776,índice,ROJO,PUBLICABLE_CON_ADVERTENCIA,HHI no es juicio de calidad por sí mismo.
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,2024,85,personas,AMARILLO,PUBLICABLE,Universo anual normalizado.
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,2024,2,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Indicador longitudinal descriptivo.
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,2024,22.352941,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,2024,77.647059,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,2024,55.294118,pp,ROJO,PUBLICABLE,"Brecha descriptiva, no causal."
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,2024,28.787879,%,AMARILLO,PUBLICABLE,Índice descriptivo.
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,2024,42.729412,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,2024,42,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,2024,7.058824,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,2024,5.882353,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,2024,1703.05,horas,AMARILLO,PUBLICABLE,No equivale automáticamente a JCE.
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,2024,20.035882,horas,AMARILLO,PUBLICABLE,Promedio descriptivo.
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,2024,20,horas,AMARILLO,PUBLICABLE,Mediana descriptiva.
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,2024,36.405273,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,2024,63.594727,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,2024,3.529412,%,ROJO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,2024,3,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,2024,1.176471,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,2024,27.058824,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,2024,60,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,2024,10.588235,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,2024,28.235294,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupa códigos oficiales 1 y 2.
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,2024,87.058824,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,2024,9.411765,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupación descriptiva de cargos oficiales.
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,2024,2.352941,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,2024,11,programas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Homologación textual conservadora.
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,2024,22.352941,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,2024,55.294118,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,2024,0.143253,índice,VERDE,PUBLICABLE_CON_ADVERTENCIA,HHI no es juicio de calidad por sí mismo.
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,2025,124,personas,AMARILLO,PUBLICABLE,Universo anual normalizado.
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,2025,6,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Indicador longitudinal descriptivo.
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,2025,31.451613,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,2025,68.548387,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,2025,37.096774,pp,ROJO,PUBLICABLE,"Brecha descriptiva, no causal."
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,2025,45.882353,%,AMARILLO,PUBLICABLE,Índice descriptivo.
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,2025,42.959677,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,2025,42,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,2025,8.064516,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,2025,6.451613,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,2025,2885.67,horas,AMARILLO,PUBLICABLE,No equivale automáticamente a JCE.
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,2025,23.271532,horas,AMARILLO,PUBLICABLE,Promedio descriptivo.
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,2025,21.5,horas,AMARILLO,PUBLICABLE,Mediana descriptiva.
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,2025,45.985854,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,2025,54.014146,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,2025,5.645161,%,ROJO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,2025,7,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,2025,0,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,2025,20.967742,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,2025,61.290323,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,2025,8.870968,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,2025,20.967742,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupa códigos oficiales 1 y 2.
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,2025,83.870968,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,2025,9.677419,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupación descriptiva de cargos oficiales.
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,2025,6.451613,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,2025,23,programas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Homologación textual conservadora.
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,2025,15.322581,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,2025,41.935484,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,2025,0.08923,índice,VERDE,PUBLICABLE_CON_ADVERTENCIA,HHI no es juicio de calidad por sí mismo.
EST_DOTACION_TOTAL,DOTACION_TOTAL,ESTABILIDAD,2026,202,personas,AMARILLO,PUBLICABLE,Universo anual normalizado.
EST_REINGRESOS,REINGRESOS,ESTABILIDAD,2026,5,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Indicador longitudinal descriptivo.
DIV_PORC_MUJERES,PORC_MUJERES,DIVERSIDAD,2026,35.643564,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_PORC_HOMBRES,PORC_HOMBRES,DIVERSIDAD,2026,64.356436,%,AMARILLO,PUBLICABLE,No establece causalidad.
DIV_BRECHA_GENERO_PP,BRECHA_GENERO_PP,DIVERSIDAD,2026,28.712871,pp,ROJO,PUBLICABLE,"Brecha descriptiva, no causal."
DIV_INDICE_PARIDAD_GENERO,INDICE_PARIDAD_GENERO,DIVERSIDAD,2026,55.384615,%,AMARILLO,PUBLICABLE,Índice descriptivo.
DIV_EDAD_PROMEDIO,EDAD_PROMEDIO,DIVERSIDAD,2026,42,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_EDAD_MEDIANA,EDAD_MEDIANA,DIVERSIDAD,2026,40,años,AMARILLO,PUBLICABLE,Edad calculada por año.
DIV_PORC_MENORES_30,PORC_MENORES_30,DIVERSIDAD,2026,5.445545,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
DIV_PORC_60_MAS,PORC_60_MAS,DIVERSIDAD,2026,4.455446,%,AMARILLO,PUBLICABLE,Tramo etario descriptivo.
CAP_HORAS_TOTALES,HORAS_TOTALES,CAPACIDAD,2026,3538.58,horas,AMARILLO,PUBLICABLE,No equivale automáticamente a JCE.
CAP_HORAS_PROMEDIO,HORAS_PROMEDIO,CAPACIDAD,2026,17.517723,horas,AMARILLO,PUBLICABLE,Promedio descriptivo.
CAP_HORAS_MEDIANA,HORAS_MEDIANA,CAPACIDAD,2026,15,horas,AMARILLO,PUBLICABLE,Mediana descriptiva.
CAP_PORC_HORAS_PLANTA,PORC_HORAS_PLANTA,CAPACIDAD,2026,28.542523,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_HORAS_HONORARIOS,PORC_HORAS_HONORARIOS,CAPACIDAD,2026,71.457477,%,AMARILLO,PUBLICABLE,Participación de componente horario.
CAP_PORC_PERSONAS_MAS_44,PORC_PERSONAS_MAS_44,CAPACIDAD,2026,0.49505,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
CAP_PERSONAS_MAS_44,PERSONAS_MAS_44,CAPACIDAD,2026,1,personas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Control descriptivo de horas contractuales.
FOR_PORC_DOCTORADO,PORC_DOCTORADO,FORMACION,2026,0,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_MAGISTER,PORC_MAGISTER,FORMACION,2026,21.782178,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TITULO_PROFESIONAL,PORC_TITULO_PROFESIONAL,FORMACION,2026,66.831683,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_TECNICO_NIVEL_SUPERIOR,PORC_TECNICO_NIVEL_SUPERIOR,FORMACION,2026,7.920792,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Categoría homologada por código oficial.
FOR_PORC_FORMACION_POSTGRADO,PORC_FORMACION_POSTGRADO,FORMACION,2026,21.782178,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupa códigos oficiales 1 y 2.
CAR_PORC_DOCENTES,PORC_DOCENTES,CARGO,2026,89.108911,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
CAR_PORC_DIRECTIVOS,PORC_DIRECTIVOS,CARGO,2026,5.445545,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Agrupación descriptiva de cargos oficiales.
CAR_PORC_COORDINADORES,PORC_COORDINADORES,CARGO,2026,5.445545,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Cargo homologado por código oficial.
PRO_NUM_PROGRAMAS,NUM_PROGRAMAS,PROGRAMAS,2026,30,programas,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Homologación textual conservadora.
PRO_CONCENTRACION_TOP_1,CONCENTRACION_TOP_1,PROGRAMAS,2026,12.376238,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_CONCENTRACION_TOP_3,CONCENTRACION_TOP_3,PROGRAMAS,2026,35.643564,%,AMARILLO,PUBLICABLE_CON_ADVERTENCIA,Concentración descriptiva.
PRO_INDICE_HHI_PROGRAMAS,INDICE_HHI_PROGRAMAS,PROGRAMAS,2026,0.077394,índice,VERDE,PUBLICABLE_CON_ADVERTENCIA,HHI no es juicio de calidad por sí mismo.
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,2022,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,2023,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CLAVE,COBERTURA_CLAVE,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_SEXO,COBERTURA_SEXO,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_EDAD,COBERTURA_EDAD,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_HORAS,COBERTURA_HORAS,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_FORMACION,COBERTURA_FORMACION,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_CARGO,COBERTURA_CARGO,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
CAL_COBERTURA_PROGRAMA,COBERTURA_PROGRAMA,CALIDAD,2024,100,%,VERDE,PUBLICABLE,Cobertura agregada sin PII.
