CODCLI,CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,MODALIDAD,JOR,VERSION,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,SIES_CONFIANZA_POST,DURACION_ESTUDIOS_REF,ESTADO_CARGA_PREGRADO,CODIGOS_SIES_POTENCIALES,SIES_MATCH_DIAG
20231IECSREOL008,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL009,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL015,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL025,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSRE010,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO
20231IECSREOL074,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL068,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL053,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20232IECSREOL008,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL014,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL047,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL096,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20232IECSREOL008,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL074,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL047,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL053,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL007,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL014,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL096,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20211IECSRE019,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO
20231IECSREOL004,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL068,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20232IECSREOL009,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSRE010,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO
20231IECSREOL016,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL050,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20221IECSRE010,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO
20222IECSREOL004,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL015,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20231IECSREOL063,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
20221IECSRE010,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3,MATCH_SIES_AMBIGUO
20231IECSREOL063,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO
