COD_CAR,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA,COD_SEDE,NOMBRE_SEDE,VIGENCIA
46,I162S2C46J4V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,3,4,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J4V3,INGENIERIA EN CIBERSEGURIDAD,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
76,I162S2C76J1V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
76,I162S2C76J2V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
76,I162S2C76J4V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
76,I162S2C76J4V2,INGENIERIA EN ADMINISTRACION DE EMPRESAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
77,I162S2C77J1V1,INGENIERIA EN LOGISTICA,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
77,I162S2C77J2V1,INGENIERIA EN LOGISTICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
77,I162S2C77J4V1,INGENIERIA EN LOGISTICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
77,I162S2C77J4V2,INGENIERIA EN LOGISTICA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
83,I162S2C83J4V1,ADMINISTRACION PUBLICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
83,I162S2C83J4V2,ADMINISTRACION PUBLICA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
86,I162S2C86J4V1,AUDITORIA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
86,I162S2C86J4V2,AUDITORIA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
87,I162S2C87J4V1,INGENIERIA INDUSTRIAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
87,I162S2C87J4V2,INGENIERIA INDUSTRIAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
88,I162S2C88J4V1,INGENIERIA EN CIENCIA DE DATOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
88,I162S2C88J4V2,INGENIERIA EN CIENCIA DE DATOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
90,I162S2C90J2V1,NATUROPATIA,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1
90,I162S2C90J2V2,NATUROPATIA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
