COMUNACOLEGIO_NORM	CIUDADCOLEGIO_NORM	PAIS	COD_PAIS_EST_SEC	ORIGEN
CALERA	LA CALERA	CHILE	38	Tabla negocio PAIS_EST_SEC
CALERA	QUILLOTA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CALERA DE TANGO	CALERA DE TANGO	CHILE	38	Tabla negocio PAIS_EST_SEC
CALERA DE TANGO	SAN BERNARDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CALLE LARGA	CALLE LARGA	CHILE	38	Tabla negocio PAIS_EST_SEC
CALLE LARGA	LOS ANDES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CAMARONES	CUYA	CHILE	38	Tabla negocio PAIS_EST_SEC
CAMINA	CAMINA	CHILE	38	Tabla negocio PAIS_EST_SEC
CANELA	CANELA BAJA	CHILE	38	Tabla negocio PAIS_EST_SEC
CANETE	ARAUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CANETE	CANETE	CHILE	38	Tabla negocio PAIS_EST_SEC
CARAHUE	CARAHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
CARAHUE	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CARTAGENA	CARTAGENA	CHILE	38	Tabla negocio PAIS_EST_SEC
CARTAGENA	SAN ANTONIO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CASABLANCA	CASABLANCA	CHILE	38	Tabla negocio PAIS_EST_SEC
CASABLANCA	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CASTRO	CASTRO	CHILE	38	Tabla negocio PAIS_EST_SEC
CATEMU	CATEMU	CHILE	38	Tabla negocio PAIS_EST_SEC
CAUQUENES	CAUQUENES	CHILE	38	Tabla negocio PAIS_EST_SEC
CERRILLOS	CERRILLOS	CHILE	38	Tabla negocio PAIS_EST_SEC
CERRILLOS	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CERRO NAVIA	CERRO NAVIA	CHILE	38	Tabla negocio PAIS_EST_SEC
CERRO NAVIA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHAITEN	CHAITEN	CHILE	38	Tabla negocio PAIS_EST_SEC
CHANARAL	CHANARAL	CHILE	38	Tabla negocio PAIS_EST_SEC
CHANCO	CHANCO	CHILE	38	Tabla negocio PAIS_EST_SEC
CHEPICA	CHEPICA	CHILE	38	Tabla negocio PAIS_EST_SEC
CHEPICA	SAN FERNANDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHIGUAYANTE	CHIGUAYANTE	CHILE	38	Tabla negocio PAIS_EST_SEC
CHIGUAYANTE	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHILE CHICO	CHILE CHICO	CHILE	38	Tabla negocio PAIS_EST_SEC
CHILLAN	CHILLAN	CHILE	38	Tabla negocio PAIS_EST_SEC
CHILLAN VIEJO	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHILLAN VIEJO	CHILLAN VIEJO	CHILE	38	Tabla negocio PAIS_EST_SEC
CHIMBARONGO	CHIMBARONGO	CHILE	38	Tabla negocio PAIS_EST_SEC
CHIMBARONGO	SAN FERNANDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHOLCHOL	CHOLCHOL	CHILE	38	Tabla negocio PAIS_EST_SEC
CHONCHI	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CHONCHI	CHONCHI	CHILE	38	Tabla negocio PAIS_EST_SEC
CISNES	PUERTO CISNES	CHILE	38	Tabla negocio PAIS_EST_SEC
COBQUECURA	COBQUECURA	CHILE	38	Tabla negocio PAIS_EST_SEC
COCHRANE	COCHRANE	CHILE	38	Tabla negocio PAIS_EST_SEC
CODEGUA	CODEGUA	CHILE	38	Tabla negocio PAIS_EST_SEC
COELEMU	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
COELEMU	COELEMU	CHILE	38	Tabla negocio PAIS_EST_SEC
COIHAIQUE	COIHAIQUE	CHILE	38	Tabla negocio PAIS_EST_SEC
COIHUECO	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
COIHUECO	COIHUECO	CHILE	38	Tabla negocio PAIS_EST_SEC
COINCO	COINCO	CHILE	38	Tabla negocio PAIS_EST_SEC
COLBUN	COLBUN	CHILE	38	Tabla negocio PAIS_EST_SEC
COLBUN	LINARES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
COLCHANE	COLCHANE	CHILE	38	Tabla negocio PAIS_EST_SEC
COLINA	COLINA	CHILE	38	Tabla negocio PAIS_EST_SEC
COLLIPULLI	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
COLLIPULLI	COLLIPULLI	CHILE	38	Tabla negocio PAIS_EST_SEC
COLTAUCO	COLTAUCO	CHILE	38	Tabla negocio PAIS_EST_SEC
COMBARBALA	COMBARBALA	CHILE	38	Tabla negocio PAIS_EST_SEC
COMBARBALA	OVALLE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CONCEPCION	CONCEPCION	CHILE	38	Tabla negocio PAIS_EST_SEC
CONCHALI	CONCHALI	CHILE	38	Tabla negocio PAIS_EST_SEC
CONCHALI	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CONCON	CONCON	CHILE	38	Tabla negocio PAIS_EST_SEC
CONSTITUCION	CONSTITUCION	CHILE	38	Tabla negocio PAIS_EST_SEC
CONSTITUCION	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CONTULMO	CONTULMO	CHILE	38	Tabla negocio PAIS_EST_SEC
COPIAPO	COPIAPO	CHILE	38	Tabla negocio PAIS_EST_SEC
COQUIMBO	COQUIMBO	CHILE	38	Tabla negocio PAIS_EST_SEC
COQUIMBO	LA SERENA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CORONEL	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CORONEL	CORONEL	CHILE	38	Tabla negocio PAIS_EST_SEC
CORRAL	CORRAL	CHILE	38	Tabla negocio PAIS_EST_SEC
COYHAIQUE	COYHAIQUE	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
CUNCO	CUNCO	CHILE	38	Tabla negocio PAIS_EST_SEC
CUNCO	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CURACAUTIN	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CURACAUTIN	CURACAUTIN	CHILE	38	Tabla negocio PAIS_EST_SEC
CURACAVI	CURACAVI	CHILE	38	Tabla negocio PAIS_EST_SEC
CURACAVI	MELIPILLA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CURACO DE VELEZ	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CURACO DE VELEZ	CURACO DE VELEZ	CHILE	38	Tabla negocio PAIS_EST_SEC
CURANILAHUE	ARAUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CURANILAHUE	CURANILAHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
CURARREHUE	CURARREHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
CUREPTO	CUREPTO	CHILE	38	Tabla negocio PAIS_EST_SEC
CURICO	CURICO	CHILE	38	Tabla negocio PAIS_EST_SEC
DALCAHUE	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
DALCAHUE	DALCAHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
DIEGO DE ALMAGRO	CHANARAL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
DIEGO DE ALMAGRO	DIEGO DE ALMAGRO	CHILE	38	Tabla negocio PAIS_EST_SEC
DONIHUE	DONIHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
DONIHUE	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
EL BOSQUE	EL BOSQUE	CHILE	38	Tabla negocio PAIS_EST_SEC
EL BOSQUE	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
EL CARMEN	EL CARMEN	CHILE	38	Tabla negocio PAIS_EST_SEC
EL MONTE	EL MONTE	CHILE	38	Tabla negocio PAIS_EST_SEC
EL MONTE	TALAGANTE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
EL QUISCO	EL QUISCO	CHILE	38	Tabla negocio PAIS_EST_SEC
EL QUISCO	SAN ANTONIO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
EL TABO	EL TABO	CHILE	38	Tabla negocio PAIS_EST_SEC
EMPEDRADO	EMPEDRADO	CHILE	38	Tabla negocio PAIS_EST_SEC
ERCILLA	ERCILLA	CHILE	38	Tabla negocio PAIS_EST_SEC
ESTACION CENTRAL	ESTACION CENTRAL	CHILE	38	Tabla negocio PAIS_EST_SEC
ESTACION CENTRAL	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
FLORIDA	FLORIDA	CHILE	38	Tabla negocio PAIS_EST_SEC
FREIRE	FREIRE	CHILE	38	Tabla negocio PAIS_EST_SEC
FREIRINA	FREIRINA	CHILE	38	Tabla negocio PAIS_EST_SEC
FREIRINA	VALLENAR	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
FRESIA	FRESIA	CHILE	38	Tabla negocio PAIS_EST_SEC
FRESIA	PUERTO MONTT	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
FRUTILLAR	FRUTILLAR	CHILE	38	Tabla negocio PAIS_EST_SEC
FRUTILLAR	PUERTO MONTT	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
FUTALEUFU	FUTALEUFU	CHILE	38	Tabla negocio PAIS_EST_SEC
FUTRONO	FUTRONO	CHILE	38	Tabla negocio PAIS_EST_SEC
FUTRONO	LA UNION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
GALVARINO	GALVARINO	CHILE	38	Tabla negocio PAIS_EST_SEC
GALVARINO	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
GENERAL LAGOS	VISVIRI	CHILE	38	Tabla negocio PAIS_EST_SEC
GORBEA	GORBEA	CHILE	38	Tabla negocio PAIS_EST_SEC
GRANEROS	GRANEROS	CHILE	38	Tabla negocio PAIS_EST_SEC
GRANEROS	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
GUAITECAS	MELINKA	CHILE	38	Tabla negocio PAIS_EST_SEC
GUAITECAS	PUERTO AYSEN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
HIJUELAS	HIJUELAS	CHILE	38	Tabla negocio PAIS_EST_SEC
HIJUELAS	QUILLOTA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
HUALAIHUE	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
HUALAIHUE	HORNOPIREN	CHILE	38	Tabla negocio PAIS_EST_SEC
HUALANE	HUALANE	CHILE	38	Tabla negocio PAIS_EST_SEC
HUALPEN	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
HUALPEN	HUALPEN	CHILE	38	Tabla negocio PAIS_EST_SEC
HUALQUI	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
HUALQUI	HUALQUI	CHILE	38	Tabla negocio PAIS_EST_SEC
HUARA	HUARA	CHILE	38	Tabla negocio PAIS_EST_SEC
HUASCO	HUASCO	CHILE	38	Tabla negocio PAIS_EST_SEC
HUECHURABA	HUECHURABA	CHILE	38	Tabla negocio PAIS_EST_SEC
HUECHURABA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
ILLAPEL	ILLAPEL	CHILE	38	Tabla negocio PAIS_EST_SEC
INDEPENDENCIA	INDEPENDENCIA	CHILE	38	Tabla negocio PAIS_EST_SEC
INDEPENDENCIA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
IQUIQUE	IQUIQUE	CHILE	38	Tabla negocio PAIS_EST_SEC
ISLA DE MAIPO	ISLA DE MAIPO	CHILE	38	Tabla negocio PAIS_EST_SEC
ISLA DE MAIPO	TALAGANTE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
ISLA DE PASCUA	HANGA ROA	CHILE	38	Tabla negocio PAIS_EST_SEC
JUAN FERNANDEZ	SAN JUAN BAUTISTA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA CISTERNA	LA CISTERNA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA CISTERNA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LA CRUZ	LA CRUZ	CHILE	38	Tabla negocio PAIS_EST_SEC
LA ESTRELLA	LA ESTRELLA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA FLORIDA	LA FLORIDA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA FLORIDA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LA GRANJA	LA GRANJA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA GRANJA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LA HIGUERA	LA HIGUERA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA LIGUA	LA LIGUA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA PINTANA	LA PINTANA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA PINTANA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LA REINA	LA REINA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA REINA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LA SERENA	LA SERENA	CHILE	38	Tabla negocio PAIS_EST_SEC
LA UNION	LA UNION	CHILE	38	Tabla negocio PAIS_EST_SEC
LAGO RANCO	LA UNION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAGO RANCO	LAGO RANCO	CHILE	38	Tabla negocio PAIS_EST_SEC
LAGUNA BLANCA	VILLA TEHUELCHES	CHILE	38	Tabla negocio PAIS_EST_SEC
LAJA	LOS ANGELES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAMPA	COLINA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAMPA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LANCO	VALDIVIA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAS CABRAS	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAS CONDES	LAS CONDES	CHILE	38	Tabla negocio PAIS_EST_SEC
LAS CONDES	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LAUTARO	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LEBU	ARAUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LICANTEN	CURICO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LIMACHE	QUILLOTA	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
LINARES	LINARES	CHILE	38	Tabla negocio PAIS_EST_SEC
LLAY LLAY	SAN FELIPE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LO BARNECHEA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LO ESPEJO	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LO PRADO	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LONCOCHE	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOS ALAMOS	ARAUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOS ANDES	LOS ANDES	CHILE	38	Tabla negocio PAIS_EST_SEC
LOS ANGELES	LOS ANGELES	CHILE	38	Tabla negocio PAIS_EST_SEC
LOS LAGOS	VALDIVIA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOS MUERMOS	PUERTO MONTT	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOS SAUCES	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOS VILOS	ILLAPEL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
LOTA	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MACHALI	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MACUL	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MAIPU	MAIPU	CHILE	38	Tabla negocio PAIS_EST_SEC
MAIPU	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MARIA ELENA	TOCOPILLA	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
MARIA PINTO	MELIPILLA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MAULE	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MEJILLONES	ANTOFAGASTA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MELIPILLA	MELIPILLA	CHILE	38	Tabla negocio PAIS_EST_SEC
MOLINA	CURICO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MOSTAZAL	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
MULCHEN	LOS ANGELES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
NANCAGUA	SAN FERNANDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
NATALES	PUERTO NATALES	CHILE	38	Tabla negocio PAIS_EST_SEC
NAVIDAD	PICHILEMU	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
NOGALES	QUILLOTA	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
NUEVA IMPERIAL	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
NUNOA	NUNOA	CHILE	38	Tabla negocio PAIS_EST_SEC
NUNOA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
OSORNO	OSORNO	CHILE	38	Tabla negocio PAIS_EST_SEC
OVALLE	OVALLE	CHILE	38	Tabla negocio PAIS_EST_SEC
PADRE HURTADO	PADRE HURTADO	CHILE	38	Tabla negocio PAIS_EST_SEC
PADRE HURTADO	TALAGANTE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PADRE LAS CASAS	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PAILLACO	VALDIVIA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PAINE	PAINE	CHILE	38	Tabla negocio PAIS_EST_SEC
PAINE	SAN BERNARDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PANGUIPULLI	VALDIVIA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PAREDONES	PICHILEMU	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
PARRAL	LINARES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PEDRO AGUIRRE CERDA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PELARCO	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PELLUHUE	CAUQUENES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PEMUCO	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PENAFLOR	TALAGANTE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PENALOLEN	PENALOLEN	CHILE	38	Tabla negocio PAIS_EST_SEC
PENALOLEN	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PENCAHUE	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PENCO	CONCEPCION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PERALILLO	SAN FERNANDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PERQUENCO	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PETORCA	LA LIGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PEUMO	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PICHILEMU	PICHILEMU	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
PITRUFQUEN	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PORVENIR	PORVENIR	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
POZO ALMONTE	IQUIQUE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PROVIDENCIA	PROVIDENCIA	CHILE	38	Tabla negocio PAIS_EST_SEC
PROVIDENCIA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUCHUNCAVI	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUCON	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUDAHUEL	PUDAHUEL	CHILE	38	Tabla negocio PAIS_EST_SEC
PUDAHUEL	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUENTE ALTO	PUENTE ALTO	CHILE	38	Tabla negocio PAIS_EST_SEC
PUENTE ALTO	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUERTO MONTT	PUERTO MONTT	CHILE	38	Tabla negocio PAIS_EST_SEC
PUERTO OCTAY	OSORNO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUERTO VARAS	PUERTO MONTT	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUNTA ARENAS	PUNTA ARENAS	CHILE	38	Tabla negocio PAIS_EST_SEC
PUNTA ARENAS	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUREN	ANGOL	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PURRANQUE	OSORNO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUTAENDO	SAN FELIPE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
PUTRE	PUTRE	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
PUYEHUE	OSORNO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUILICURA	QUILICURA	CHILE	38	Tabla negocio PAIS_EST_SEC
QUILICURA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUILLECO	LOS ANGELES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUILLON	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUILLOTA	QUILLOTA	CHILE	38	Derivado DatosAlumnos (pendiente validacion manual)
QUILPUE	QUILPUE	CHILE	38	Tabla negocio PAIS_EST_SEC
QUILPUE	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUINCHAO	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUINTA DE TILCOCO	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUINTA NORMAL	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUINTERO	VALPARAISO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
QUIRIHUE	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RANCAGUA	RANCAGUA	CHILE	38	Tabla negocio PAIS_EST_SEC
RECOLETA	RECOLETA	CHILE	38	Tabla negocio PAIS_EST_SEC
RECOLETA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RENCA	RENCA	CHILE	38	Tabla negocio PAIS_EST_SEC
RENCA	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RENGO	RANCAGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RETIRO	LINARES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RIO BUENO	LA UNION	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
RIO CLARO	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAAVEDRA	TEMUCO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN ANTONIO	SAN ANTONIO	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN BERNARDO	SAN BERNARDO	CHILE	38	Tabla negocio PAIS_EST_SEC
SAN BERNARDO	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN CARLOS	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
SAN CLEMENTE	TALCA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
