GRUPO_TRAZA	JORNADA	CODCARPR	NOMBRE_L	CODIGO_CARRERA_SIES
B12	V	NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V4
B13	V	NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V1
B13	V	NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	I162S2C3J2V4
B14	V	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V1
B14	V	TCRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V2
B15	V	TTMRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V1
B15	V	TTMRE	TECNICO EN CONECTIVIDAD Y REDES	I162S2C6J2V2
B16	V	CICRE	CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES	I162S2C3J2V3

C1	D	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J1V1
C1	D	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V1
C1	D	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V3
C2	D	IECSRE	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V1
C3	D	TCIB	TECNICO EN CIBERSEGURIDAD	I162S2C47J1V1
C3	D	TCIB	TECNICO EN CIBERSEGURIDAD	I162S2C47J2V1
C4	D	TCSRE	TECNICO EN CIBERSEGURIDAD	I162S2C47J1V1
C5	O	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V1
C5	O	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V2
C5	O	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V3
C6	O	CICIB	CONTINUIDAD INGENIERIA CIBERSEGURIDAD	I162S2C46J4V1
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J1V1
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V1
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V2
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V3
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V1
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V2
C7	O	IECSREOL	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J4V3
C8	O	TCIB	TECNICO EN CIBERSEGURIDAD	I162S2C47J4V1
C9	O	TCSREOL	TECNICO EN CIBERSEGURIDAD	I162S2C47J4V1
C10	V	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V1
C10	V	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V2
C10	V	ICIB	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V3
C11	V	IECSRE	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V1
C11	V	IECSRE	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V2
C11	V	IECSRE	INGENIERIA EN CIBERSEGURIDAD	I162S2C46J2V3
C12	V	TCIB	TECNICO EN CIBERSEGURIDAD	I162S2C47J2V1
C13	V	TCSRE	TECNICO EN CIBERSEGURIDAD	I162S2C47J2V1
C14	V	CICIB	CONTINUIDAD INGENIERIA CIBERSEGURIDAD	I162S2C46J2V3

D1	D	IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J1V1
D1	D	IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J2V1
D1	D	IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J2V2
D2	O	CIACI	CONTINUIDAD INGENIERIA AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J4V2
D3	O	IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J4V1
D3	O	IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C22J4V2
D4	V	TACI	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C11J2V1
D5	V	TMIRE	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C11J2V1
D5	V	TMIRE	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	I162S2C24J2V1

E1	D	IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	I162S2C76J1V1
E1	D	IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	I162S2C76J2V1
E2	D	TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	I162S2C78J1V1
E2	D	TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	I162S2C78J2V1
E3	O	IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	I162S2C76J4V1
E3	O	IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	I162S2C76J4V2
E4	O	CIADM	CONTINUIDAD INGENIERIA ADMINISTRACION DE EMPRESAS	I162S2C76J4V2
E5	O	TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	I162S2C78J4V1
E6	O	ADMP	ADMINISTRACION PUBLICA	I162S2C83J4V1
E6	O	ADMP	ADMINISTRACION PUBLICA	I162S2C83J4V2
E7	O	CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	I162S2C83J4V2
E8	O	TADP	TECNICO EN ADMINISTRACION PUBLICA	I162S2C84J4V1
E9	O	AUDT	AUDITORIA	I162S2C86J4V1
E9	O	AUDT	AUDITORIA	I162S2C86J4V2
E10	O	CAUDT	CONTINUIDAD AUDITORIA	I162S2C86J4V2
E11	O	CONG	CONTABILIDAD GENERAL	I162S2C85J4V1
E12	V	IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	I162S2C76J2V1
E13	V	TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	I162S2C78J2V1

F1	D	ILOG	INGENIERIA EN LOGISTICA	I162S2C77J1V1
F1	D	ILOG	INGENIERIA EN LOGISTICA	I162S2C77J2V1
F2	D	TLOG	TECNICO EN LOGISTICA	I162S2C79J1V1
F2	D	TLOG	TECNICO EN LOGISTICA	I162S2C79J2V1
F3	O	ILOG	INGENIERIA EN LOGISTICA	I162S2C77J4V1
F4	O	CILOG	CONTINUIDAD INGENIERIA LOGISTICA	I162S2C77J4V2
F5	O	TLOG	TECNICO EN LOGISTICA	I162S2C79J4V1
F6	V	ILOG	INGENIERIA EN LOGISTICA	I162S2C77J2V1
F7	V	TLOG	TECNICO EN LOGISTICA	I162S2C79J2V1

G1	D	TENS	TECNICO EN ENFERMERIA	I162S2C91J1V1
G1	D	TENS	TECNICO EN ENFERMERIA	I162S2C91J2V1
G2	V	TENS	TECNICO EN ENFERMERIA	I162S2C91J2V1
G3	V	COTENS	TECNICO EN ENFERMERIA	I162S2C91J2V1
G4	V	TEIQ	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	I162S2C114J2V1
G5	V	COTEIQ	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	I162S2C114J2V1
G6	V	TFAR	TECNICO EN FARMACIA	I162S2C115J2V1
G7	V	COTFAR	TECNICO EN FARMACIA	I162S2C115J2V1

H1	O	ICDA	INGENIERIA EN CIENCIA DE DATOS	I162S2C88J4V1
H1	O	ICDA	INGENIERIA EN CIENCIA DE DATOS	I162S2C88J4V2
H2	O	CICDA	CONTINUIDAD INGENIERIA CIENCIA DE DATOS	I162S2C88J4V2
H3	O	TCDA	TECNICO EN CIENCIA DE DATOS	I162S2C89J4V1

I1	O	IFIN	INGENIERIA EN FINANZAS	I162S2C111J4V1
I1	O	IFIN	INGENIERIA EN FINANZAS	I162S2C111J4V2
I2	O	CIFIN	CONTINUIDAD INGENIERIA FINANZAS	I162S2C111J4V2
I3	O	TFIN	TECNICO EN FINANZAS	I162S2C116J4V1

J1	O	IMDI	INGENIERIA EN MARKETING DIGITAL	I162S2C112J4V1
J1	O	IMDI	INGENIERIA EN MARKETING DIGITAL	I162S2C112J4V2
J2	O	CIMDI	CONTINUIDAD INGENIERIA MARKETING DIGITAL	I162S2C112J4V2
J3	O	TMDI	TECNICO EN MARKETING DIGITAL	I162S2C118J4V1
J4	O	IRHU	INGENIERIA EN RECURSOS HUMANOS	I162S2C113J4V1
J4	O	IRHU	INGENIERIA EN RECURSOS HUMANOS	I162S2C113J4V2
J5	O	CIRHU	CONTINUIDAD INGENIERIA RECURSOS HUMANOS	I162S2C113J4V2
J6	O	TRHU	TECNICO EN RECURSOS HUMANOS	I162S2C119J4V1

K1	O	IPRE	INGENIERIA EN PREVENCION DE RIESGOS	I162S2C124J4V1
K1	O	IPRE	INGENIERIA EN PREVENCION DE RIESGOS	I162S2C124J4V2
K2	O	CIPRE	CONTINUIDAD EN PREVENCION DE RIESGOS	I162S2C124J4V2
K3	O	TPRE	TECNICO EN PREVENCION DE RIESGOS	I162S2C10J4V1
K4	O	ISEP	INGENIERIA EN SEGURIDAD PRIVADA	I162S2C125J4V1
K4	O	ISEP	INGENIERIA EN SEGURIDAD PRIVADA	I162S2C125J4V2
K5	O	CISEP	CONTINUIDAD INGENIERIA EN SEGURIDAD PRIVADA	I162S2C125J4V2

L1	O	DACD	DIPLOMADO EN ARQUITECTURA CLOUD	I162S2C63J4V1
L3	O	DCBS	DIPLOMADO EN CIBERSEGURIDAD	I162S2C53J3V1
L6	O	DDSC	DIPLOMADO EN DATA SCIENCE	I162S2C97J4V1
L9	O	DFSK	DIPLOMADO EN FULLSTACK	I162S2C66J4V1
L11	O	DGDA	DIPLOMADO EN GOBERNANZA DE DATOS	I162S2C96J4V1
L14	O	DIAR	DIPLOMADO EN INTELIGENCIA ARTIFICIAL	I162S2C95J4V1
L15	O	DICD	DIPLOMADO EN INFRAESTRUCTURA CLOUD	I162S2C69J4V1
L17	O	DQAS	DIPLOMADO EN QUALITY ASSURANCE	I162S2C67J4V1
L19	O	DRID	DIPLOMADO EN REDES INDUSTRIALES	I162S2C70J4V1
L20	O	DSCM	DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS	I162S2C97J4V1
L21	O	DSFA	DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO	I162S2C101J4V1
L22	O	DSOF	DIPLOMADO EN SEGURIDAD OFENSIVA	I162S2C68J4V1

M1	O	IIND	INGENIERIA INDUSTRIAL	I162S2C87J4V1
M1	O	IIND	INGENIERIA INDUSTRIAL	I162S2C87J4V2
M2	O	CIIND	CONTINUIDAD INGENIERIA INDUSTRIAL	I162S2C22J2V2
M2	O	CIIND	CONTINUIDAD INGENIERIA INDUSTRIAL	I162S2C22J4V2
M3	O	TPCRE	TECNICO EN PROGRAMACION COMPUTACIONAL	I162S2C2J4V1
M3	O	TPCRE	TECNICO EN PROGRAMACION COMPUTACIONAL	I162S2C2J4V2
M4	O	TPAREOL	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J4V1
M5	O	TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J4V1
M6	D	TPARE	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J1V1
M6	D	TPARE	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J2V1
M7	D	TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J1V1
M7	D	TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J2V1
M8	V	TPARE	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J2V1
M9	V	TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	I162S2C57J2V1
M10	V	CNATP	CONTINUIDAD NATUROPATIA	I162S2C90J2V2
M11	V	NATP	NATUROPATIA	I162S2C90J2V1
M11	V	NATP	NATUROPATIA	I162S2C90J2V2
