POSICION	NOMBRE_CAMPO	SUBPROCESO	ARCHIVO_GOBERNANZA	PRECARGADO	MODIFICABLE	OBLIGATORIO	FUENTE_PRINCIPAL	NIVEL_RESPALDO	DEPENDENCIAS	SEVERIDAD	ESTADO_GOBERNANZA	PENDIENTE_PRINCIPAL	APTO_PARA_IMPLEMENTACION
11	TIPO_UNIDAD_MEDIDA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/11_TIPO_UNIDAD_MEDIDA.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
12	OTRA_UNIDAD_MEDIDA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/12_OTRA_UNIDAD_MEDIDA.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
13	TOTAL_UNIDADES_MEDIDA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/13_TOTAL_UNIDADES_MEDIDA.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
14	UNIDADES_1ER_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/14_UNIDADES_1ER_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
15	UNIDADES_2DO_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/15_UNIDADES_2DO_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
16	UNIDADES_3ER_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/16_UNIDADES_3ER_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
17	UNIDADES_4TO_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/17_UNIDADES_4TO_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
18	UNIDADES_5TO_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/18_UNIDADES_5TO_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
19	UNIDADES_6TO_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/19_UNIDADES_6TO_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
20	UNIDADES_7MO_ANIO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/20_UNIDADES_7MO_ANIO.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
21	VIGENCIA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/21_VIGENCIA.tsv	SI	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_PARCIALMENTE	información no entregada por la fuente oficial; requiere fuente institucional.	PARCIAL
