CODIGO_UNICO,NOMBRE,COLUMNA,VALOR_FINAL,FUENTE_USADA,METODO_MATCH,ESTADO,OBSERVACION,ESTADO_FILA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Mención o Especialidad,No aplica,REGLA_FORMULARIO_SIN_MENCION_EXPLICITA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No se detecta mención separada en fuente estructural.,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Año de inicio de Actividades,2025,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Campus,República,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Horario,Otro,MAPEO_COD_JORNADA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Estado,Programa o Carrera Nueva(o),REGLA_OPERATIVA_PROGRAMAS_FALTANTES,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Tipo Programa,Programa Regular,MAPEO_COD_TIPO_PLAN_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Detalle del Tipo de Programa (especiales),No aplica,REGLA_TIPO_PROGRAMA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No aplica solo si Tipo Programa=Programa Regular.,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Modalidad del Programa,No presencial,MAPEO_MODALIDAD_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Área del Conocimiento,Salud,MAPEO_AREA_ACTUAL_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Sub Área,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe subárea directa en diccionario/matriz/referencia exacta.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Carrera Genérica,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Título que otorga el programa,DIPLOMADO SALUD CON FOCO EN MIGRACION,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Grado Académico que otorga el programa,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Dependencia,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe dependencia directa en fuentes autorizadas.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Régimen,Semestral,MAPEO_REGIMEN_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Duración del programa en Semestres,1,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Ingreso Directo,,MAPEO_REQUISITO_INGRESO_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe fuente directa fuerte para esta columna.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Ingreso desde un plan Común,No aplica,REGLA_AUSENCIA_EVIDENCIA_PLAN_COMUN,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No hay evidencia de plan común en fuentes estructurales.,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Ingreso desde Bachillerato,No aplica,REGLA_AUSENCIA_EVIDENCIA_BACHILLERATO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No hay evidencia de bachillerato en fuentes estructurales.,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Otro Tipo de Ingreso,,REGLA_REQUISITO_INGRESO,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No aplica solo si requisito ingreso estructural indica ingreso directo.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Ingreso otro,,REGLA_REQUISITO_INGRESO,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No aplica solo si no hay otro tipo de ingreso.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Observaciones,Registro de prueba generado desde match estructural fuerte; revisar columnas no aptas en auditoría antes de subir.,MENSAJE_OPERATIVO_NO_TECNICO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,FECHA_ADMISION_INICIAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,MALLA_CURRICULAR,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,PERFIL_EGRESO,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,TEXTO_REQUISITO_INGRESO,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,LICENCIA_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,NOTAS_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,PROMEDIO_MIN_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,RECONOCIMIENTOS_APREN_PREVIOS,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,EXPERIENCIA_LABORAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,OTROS_REQUISITOS,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,MAIL_DIFUSION_CARRERA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,FORMATO_VALOR,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,VALOR_MATRICULA_ANUAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,COSTO_TITULACION,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,VALOR_CERTIFICADO_DIPLOMA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,ARANCEL_ANUAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,VIGENCIA_CARRERA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Sede,Santiago,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Tipo de Carrera,Diplomado,MAPEO_COD_NIVEL_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Nombre,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Mención o Especialidad,No aplica,REGLA_FORMULARIO_SIN_MENCION_EXPLICITA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No se detecta mención separada en fuente estructural.,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Año de inicio de Actividades,2025,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Campus,República,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Horario,Otro,MAPEO_COD_JORNADA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Estado,Programa o Carrera Nueva(o),REGLA_OPERATIVA_PROGRAMAS_FALTANTES,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Tipo Programa,Programa Regular,MAPEO_COD_TIPO_PLAN_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Detalle del Tipo de Programa (especiales),No aplica,REGLA_TIPO_PROGRAMA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No aplica solo si Tipo Programa=Programa Regular.,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Modalidad del Programa,No presencial,MAPEO_MODALIDAD_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Área del Conocimiento,Salud,MAPEO_AREA_ACTUAL_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Sub Área,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe subárea directa en diccionario/matriz/referencia exacta.,NO_APTA
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Carrera Genérica,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Título que otorga el programa,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Grado Académico que otorga el programa,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,Dependencia,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe dependencia directa en fuentes autorizadas.,NO_APTA
