CODIGO_UNICO,COLUMNA,TIPO_COLUMNA,VALOR_ACTUAL,VALOR_PROPUESTO,FUENTE_VALOR_PROPUESTO,REGLA_MATCH,CONFIANZA,ACCION,MOTIVO,MATCH_STATUS_FINAL,MATCH_METHOD_FINAL
I162S2C101J4V1,ANIO_INICIO,OFERTA_ACADEMICA,2025,2025,DICCIONARIO_COMPLEMENTADO.ANIO_INICIO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico ANIO_INICIO disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,REGIMEN,OFERTA_ACADEMICA,1,1,DICCIONARIO_COMPLEMENTADO.REGIMEN,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico REGIMEN disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,DURACION_REGIMEN,OFERTA_ACADEMICA,1,1,DICCIONARIO_COMPLEMENTADO.DURACION_REGIMEN,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico DURACION_REGIMEN disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NOMBRE_TITULO,OFERTA_ACADEMICA,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DICCIONARIO_COMPLEMENTADO.NOMBRE_TITULO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico NOMBRE_TITULO disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,ACREDITACION,OFERTA_ACADEMICA,2,2,DICCIONARIO_COMPLEMENTADO.ACREDITACION,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico ACREDITACION disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,REQUISITO_INGRESO,INGRESO_REQUISITOS,2,2,DICCIONARIO_COMPLEMENTADO.REQUISITO_INGRESO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico REQUISITO_INGRESO disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,SEMESTRES_RECONOCIDOS,OFERTA_ACADEMICA,0,0,DICCIONARIO_COMPLEMENTADO.SEMESTRES_RECONOCIDOS,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico SEMESTRES_RECONOCIDOS disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_ACTUAL,AREA_CONOCIMIENTO,8,8,DICCIONARIO_COMPLEMENTADO.AREA_ACTUAL,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_ACTUAL disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_ADMIN_DERECHO,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_ADMIN_DERECHO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_ADMIN_DERECHO disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_AGRI_SILVI_PESCA_VET,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_AGRI_SILVI_PESCA_VET,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_AGRI_SILVI_PESCA_VET disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_ARTES_HUMANIDADES,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_ARTES_HUMANIDADES,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_ARTES_HUMANIDADES disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_CIENCIAS_NAT_MAT_ESTAD,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_CIENCIAS_NAT_MAT_ESTAD,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_CIENCIAS_NAT_MAT_ESTAD disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_CS_SOCIAL_PERIODISMO_INFO,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_CS_SOCIAL_PERIODISMO_INFO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_CS_SOCIAL_PERIODISMO_INFO disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_EDUCACION,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_EDUCACION,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_EDUCACION disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_INGE_INDUSTRIA_CONSTRUC,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_INGE_INDUSTRIA_CONSTRUC,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_INGE_INDUSTRIA_CONSTRUC disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_SALUD_BIENESTAR,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_SALUD_BIENESTAR,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_SALUD_BIENESTAR disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_SERVICIOS,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_SERVICIOS,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_SERVICIOS disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,AREA_TECNO_INFO_COMUNICA,AREA_CONOCIMIENTO,0,0,DICCIONARIO_COMPLEMENTADO.AREA_TECNO_INFO_COMUNICA,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico AREA_TECNO_INFO_COMUNICA disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,VACANTES_PRIMER_SEMESTRE,OFERTA_ACADEMICA,25,25,DICCIONARIO_COMPLEMENTADO.VACANTES_PRIMER_SEMESTRE,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico VACANTES_PRIMER_SEMESTRE disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,VACANTES_SEGUNDO_SEMESTRE,OFERTA_ACADEMICA,25,25,DICCIONARIO_COMPLEMENTADO.VACANTES_SEGUNDO_SEMESTRE,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,MANTENER,Valor técnico VACANTES_SEGUNDO_SEMESTRE disponible con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,FECHA_ADMISION_INICIAL,NO_AUTOCOMPLETABLE_CON_BASES_ACTUALES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente documental explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,MALLA_CURRICULAR,NO_AUTOCOMPLETABLE_CON_BASES_ACTUALES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente documental explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,PERFIL_EGRESO,NO_AUTOCOMPLETABLE_CON_BASES_ACTUALES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente documental explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,TEXTO_REQUISITO_INGRESO,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,LICENCIA_ENS_MEDIA,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NOTAS_ENS_MEDIA,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,PROMEDIO_MIN_ENS_MEDIA,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,RECONOCIMIENTOS_APREN_PREVIOS,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,EXPERIENCIA_LABORAL,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,OTROS_REQUISITOS,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,No existe fuente textual explícita para este requisito en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,MAIL_DIFUSION_CARRERA,NO_AUTOCOMPLETABLE_CON_BASES_ACTUALES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente documental explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,FORMATO_VALOR,ARANCELES_VALORES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,SIN_FUENTE_ARANCELARIA_EN_BASES_ACTUALES.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,VALOR_MATRICULA_ANUAL,ARANCELES_VALORES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,SIN_FUENTE_ARANCELARIA_EN_BASES_ACTUALES.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,COSTO_TITULACION,ARANCELES_VALORES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,SIN_FUENTE_ARANCELARIA_EN_BASES_ACTUALES.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
