CODIGO_UNICO,NOMBRE,SEDE,TIPO_CARRERA,HORARIO,VALOR_OPERATIVO_FINAL,AÑOS_CANDIDATOS,AÑOS_MISMA_CARRERA_NOMBRE,RECOMENDACION_METODOLOGICA,DECISION_REQUERIDA,OBSERVACION,FUENTE_EVIDENCIA,ACCION_MANUAL_SUGERIDA,TIPO_REGISTRO,COLUMNA,VALOR_OPERATIVO,VALORES_CANDIDATOS,VALORES_POR_CANDIDATO,CANDIDATOS_FAMILIA,N_VALORES_DISTINTOS,MOTIVO_CONFLICTO,REGLA_METODOLOGICA,VALOR_FINAL,REGLA_APLICADA,DICTAMEN
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,,,,,,,,DECISION_MANUAL_REQUERIDA,,,Confirmar valor oficial institucional para este campo antes de cargar en CNED.,CONFLICTO_REAL_I162S2C3J2V2,ANIO_INICIO,CONFLICTO_REVISAR_ANIO_INICIO_VERSIONES_MULTIPLES_2002_2017_2019,2002; 2017; 2019,I162S2C3J2V1=2002; I162S2C3J2V3=2017; I162S2C3J2V4=2019,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,3.0,La familia estructural presenta valores multiples y no existe match exacto por CODIGO_UNICO_DERIVADO.,"Cuando no existe match exacto por CODIGO_UNICO_DERIVADO, pero existe familia candidata por sede, carrera, jornada y version cercana, solo se pueden autocompletar campos si todos los candidatos validos entregan exactamente el mismo valor para esa columna. Si los candidatos entregan valores distintos, el campo debe quedar como conflicto real y no debe resolverse por inferencia.",,,
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,,,,,,,,DECISION_MANUAL_REQUERIDA,,,Confirmar valor oficial institucional para este campo antes de cargar en CNED.,CONFLICTO_REAL_I162S2C3J2V2,DURACION_REGIMEN,CONFLICTO_REVISAR_DURACION_REGIMEN_VERSIONES_MULTIPLES_4_8,4; 8,I162S2C3J2V1=8; I162S2C3J2V3=4; I162S2C3J2V4=8,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,2.0,La familia estructural presenta valores multiples y no existe match exacto por CODIGO_UNICO_DERIVADO.,"Cuando no existe match exacto por CODIGO_UNICO_DERIVADO, pero existe familia candidata por sede, carrera, jornada y version cercana, solo se pueden autocompletar campos si todos los candidatos validos entregan exactamente el mismo valor para esa columna. Si los candidatos entregan valores distintos, el campo debe quedar como conflicto real y no debe resolverse por inferencia.",,,
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,,,,,,,,DECISION_MANUAL_REQUERIDA,,,Confirmar valor oficial institucional para este campo antes de cargar en CNED.,CONFLICTO_REAL_I162S2C3J2V2,REQUISITO_INGRESO,CONFLICTO_REVISAR_REQUISITO_INGRESO_VERSIONES_MULTIPLES_1_2,1; 2,I162S2C3J2V1=1; I162S2C3J2V3=2; I162S2C3J2V4=1,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,2.0,La familia estructural presenta valores multiples y no existe match exacto por CODIGO_UNICO_DERIVADO.,"Cuando no existe match exacto por CODIGO_UNICO_DERIVADO, pero existe familia candidata por sede, carrera, jornada y version cercana, solo se pueden autocompletar campos si todos los candidatos validos entregan exactamente el mismo valor para esa columna. Si los candidatos entregan valores distintos, el campo debe quedar como conflicto real y no debe resolverse por inferencia.",,,
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,,,,,,,,DECISION_MANUAL_REQUERIDA,,,Confirmar valor oficial institucional para este campo antes de cargar en CNED.,CONFLICTO_REAL_I162S2C3J2V2,SEMESTRES_RECONOCIDOS,CONFLICTO_REVISAR_SEMESTRES_RECONOCIDOS_VERSIONES_MULTIPLES_0_4,0; 4,I162S2C3J2V1=0; I162S2C3J2V3=4; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,2.0,La familia estructural presenta valores multiples y no existe match exacto por CODIGO_UNICO_DERIVADO.,"Cuando no existe match exacto por CODIGO_UNICO_DERIVADO, pero existe familia candidata por sede, carrera, jornada y version cercana, solo se pueden autocompletar campos si todos los candidatos validos entregan exactamente el mismo valor para esa columna. Si los candidatos entregan valores distintos, el campo debe quedar como conflicto real y no debe resolverse por inferencia.",,,
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,,,,,,,,DECISION_MANUAL_REQUERIDA,,,Confirmar valor oficial institucional para este campo antes de cargar en CNED.,CONFLICTO_REAL_I162S2C3J2V2,VACANTES_PRIMER_SEMESTRE,CONFLICTO_REVISAR_VACANTES_PRIMER_SEMESTRE_VERSIONES_MULTIPLES_0_30,0; 30,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=30,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,2.0,La familia estructural presenta valores multiples y no existe match exacto por CODIGO_UNICO_DERIVADO.,"Cuando no existe match exacto por CODIGO_UNICO_DERIVADO, pero existe familia candidata por sede, carrera, jornada y version cercana, solo se pueden autocompletar campos si todos los candidatos validos entregan exactamente el mismo valor para esa columna. Si los candidatos entregan valores distintos, el campo debe quedar como conflicto real y no debe resolverse por inferencia.",,,
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,REGIMEN,,1,I162S2C3J2V1=1; I162S2C3J2V3=1; I162S2C3J2V4=1,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,1,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,NOMBRE_TITULO,,INGENIERO EN CONECTIVIDAD Y REDES,I162S2C3J2V1=INGENIERO EN CONECTIVIDAD Y REDES; I162S2C3J2V3=INGENIERO EN CONECTIVIDAD Y REDES; I162S2C3J2V4=INGENIERO EN CONECTIVIDAD Y REDES,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,INGENIERO EN CONECTIVIDAD Y REDES,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,ACREDITACION,,2,I162S2C3J2V1=2; I162S2C3J2V3=2; I162S2C3J2V4=2,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,2,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_ACTUAL,,10,I162S2C3J2V1=10; I162S2C3J2V3=10; I162S2C3J2V4=10,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,10,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_ADMIN_DERECHO,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_AGRI_SILVI_PESCA_VET,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_ARTES_HUMANIDADES,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_CIENCIAS_NAT_MAT_ESTAD,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_CS_SOCIAL_PERIODISMO_INFO,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_EDUCACION,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_INGE_INDUSTRIA_CONSTRUC,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_SALUD_BIENESTAR,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_SERVICIOS,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,AREA_TECNO_INFO_COMUNICA,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
I162S2C3J2V2,,,,,,,,,,,,,CAMPO_RESUELTO_UNANIMIDAD,VACANTES_SEGUNDO_SEMESTRE,,0,I162S2C3J2V1=0; I162S2C3J2V3=0; I162S2C3J2V4=0,I162S2C3J2V1; I162S2C3J2V3; I162S2C3J2V4,1.0,,,0,MATCH_R4_AUXILIAR_AMBIGUO_CON_UNANIMIDAD_PARCIAL,NO_REQUIERE_DECISION_MANUAL_UNANIMIDAD_CONFIRMADA
