CODIGO_UNICO;CODIGO_IES_NUM;COD_SEDE;COD_CARRERA_DERIVADO;JORNADA;VERSION_DERIVADA;NOMBRE_CARRERA_ORIGINAL;NOMBRE_CARRERA_NORMALIZADO;MODALIDAD_ORIGINAL;TIPO_PLAN_CARRERA_ORIGINAL;CARACT_PLAN_ESPECIAL_ORIGINAL;NIVEL_GLOBAL;NIVEL_CARRERA;VIGENCIA;ESTADO_CRUCE_INDICES;MOTIVO_ESTADO_CRUCE;FUENTE;REVISADO_MANUALMENTE;OBSERVACION_AUDITORIA;Sede;Tipo de Carrera;Nombre;Mención o Especialidad;Año de inicio de Actividades;Campus;Horario;Estado;Tipo Programa;Detalle del Tipo de Programa (especiales);Modalidad del Programa;Área del Conocimiento;Sub Área;Carrera Genérica;Título que otorga el programa;Grado Académico que otorga el programa;Dependencia;Régimen;Duración del Programa en Semestres;Ingreso Directo;Ingreso desde un plan Común;Ingreso desde Bachillerato;Otro Tipo de Ingreso;Ingreso otro;Observaciones
I162S2C112J4V2;162;2;112;4;2;INGENIERIA EN MARKETING DIGITAL;INGENIERIA EN MARKETING DIGITAL;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN MARKETING DIGITAL;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C113J4V1;162;2;113;4;1;INGENIERIA EN RECURSOS HUMANOS;INGENIERIA EN RECURSOS HUMANOS;3;1;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN RECURSOS HUMANOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;8;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C113J4V2;162;2;113;4;2;INGENIERIA EN RECURSOS HUMANOS;INGENIERIA EN RECURSOS HUMANOS;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN RECURSOS HUMANOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C114J2V1;162;2;114;2;1;TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA;TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA;1;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA;REVISAR;REVISAR;República;Vespertino;Programa o Carrera Nueva(o);Programa Regular;No aplica;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C115J2V1;162;2;115;2;1;TECNICO EN FARMACIA;TECNICO EN FARMACIA;1;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN FARMACIA;REVISAR;REVISAR;República;Vespertino;Programa o Carrera Nueva(o);Programa Regular;No aplica;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C116J4V1;162;2;116;4;1;TECNICO EN FINANZAS;TECNICO EN FINANZAS;3;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN FINANZAS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C117J4V1;162;2;117;4;1;TECNICO EN INFRAESTRUCTURA CLOUD;TECNICO EN INFRAESTRUCTURA CLOUD;3;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN INFRAESTRUCTURA CLOUD;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C118J4V1;162;2;118;4;1;TECNICO EN MARKETING DIGITAL;TECNICO EN MARKETING DIGITAL;3;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN MARKETING DIGITAL;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C119J4V1;162;2;119;4;1;TECNICO EN RECURSOS HUMANOS;TECNICO EN RECURSOS HUMANOS;3;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN RECURSOS HUMANOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C124J4V1;162;2;124;4;1;INGENIERIA EN PREVENCION DE RIESGOS;INGENIERIA EN PREVENCION DE RIESGOS;3;1;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN PREVENCION DE RIESGOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;8;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C124J4V2;162;2;124;4;2;INGENIERIA EN PREVENCION DE RIESGOS;INGENIERIA EN PREVENCION DE RIESGOS;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN PREVENCION DE RIESGOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C125J4V1;162;2;125;4;1;INGENIERIA EN SEGURIDAD PRIVADA;INGENIERIA EN SEGURIDAD PRIVADA;3;1;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN SEGURIDAD PRIVADA;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;8;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C125J4V2;162;2;125;4;2;INGENIERIA EN SEGURIDAD PRIVADA;INGENIERIA EN SEGURIDAD PRIVADA;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN SEGURIDAD PRIVADA;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C13J1V1;162;2;13;1;1;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;1;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;REVISAR;REVISAR;República;Diurno;Programa o Carrera Nueva(o);Programa Regular;No aplica;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C13J2V1;162;2;13;2;1;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;1;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;SOPORTE DE SERVICIOS DE TELECOMUNICACIONES;REVISAR;REVISAR;República;Vespertino;Programa o Carrera Nueva(o);Programa Regular;No aplica;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C1J2V2;162;2;1;2;2;INGENIERIA EN INFORMATICA;INGENIERIA EN INFORMATICA;1;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN INFORMATICA;REVISAR;REVISAR;República;Vespertino;Programa o Carrera Nueva(o);Programa Especial;REVISAR;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C1J4V3;162;2;1;4;3;INGENIERIA EN INFORMATICA;INGENIERIA EN INFORMATICA;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN INFORMATICA;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
