COD_SEDE	NOMBRE_SEDE	COD_CARRERA	NOMBRE_CARRERA	MODALIDAD	COD_JORNADA	VERSION	COD_TIPO_PLAN_CARRERA	CARACTERISTICAS_TIPO_PLAN	DURACION_ESTUDIOS	DURACION_TITULACION	DURACION_TOTAL	REGIMEN	DURACION_REGIMEN	NOMBRE_TITULO	COD_NIVEL_GLOBAL	COD_NIVEL_CARRERA	ANIO_INICIO	ACREDITACION	REQUISITO_INGRESO	SEMESTRES_RECONOCIDOS	AREA_ACTUAL	AREA_ADMIN_DERECHO	AREA_AGRI_SILVI_PESCA_VET	AREA_ARTES_HUMANIDADES	AREA_CIENCIAS_NAT_MAT_ESTAD	AREA_CS_SOCIAL_PERIODISMO_INFO	AREA_EDUCACION	AREA_INGE_INDUSTRIA_CONSTRUC	AREA_SALUD_BIENESTAR	AREA_SERVICIOS	AREA_TECNO_INFO_COMUNICA	VACANTES_PRIMER_SEMESTRE	VACANTES_SEGUNDO_SEMESTRE	FECHA_ADMISION_INICIAL	MALLA_CURRICULAR	PERFIL_EGRESO	TEXTO_REQUISITO_INGRESO	LICENCIA_ENS_MEDIA	NOTAS_ENS_MEDIA	PROMEDIO_MIN_ENS_MEDIA	RECONOCIMIENTOS_APREN_PREVIOS	EXPERIENCIA_LABORAL	OTROS_REQUISITOS	MAIL_DIFUSION_CARRERA	FORMATO_VALOR	VALOR_MATRICULA_ANUAL	COSTO_TITULACION	VALOR_CERTIFICADO_DIPLOMA	ARANCEL_ANUAL	VIGENCIA_CARRERA	CODIGO_UNICO_DERIVADO	KEY_EXACTA_CODIGO_UNICO	KEY_ESTRUCTURAL	NOMBRE_CARRERA_NORMALIZADO	NOMBRE_SEDE_NORMALIZADO	KEY_NOMBRE_SEDE_JORNADA	KEY_NOMBRE_MODALIDAD_JORNADA_TIPO_DURACION	VALIDACION_CODIGO_UNICO_DERIVADO	VALIDACION_DUPLICADO_CODIGO_UNICO_DERIVADO	VALIDACION_COLUMNAS_A_AH_COMPLETAS	VALIDACION_COLUMNAS_AI_AY_VACIAS_O_REVISAR	OBSERVACION_DICCIONARIO
2	CASA CENTRAL (SANTIAGO)	2	TECNICO EN PROGRAMACION COMPUTACIONAL	3	4	1	1	NO APLICA	5	0	5	1	5	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	2017	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C2J4V1	I162S2C2J4V1	2|2|4|1	TECNICO EN PROGRAMACION COMPUTACIONAL	CASA CENTRAL SANTIAGO	TECNICO EN PROGRAMACION COMPUTACIONAL|CASA CENTRAL SANTIAGO|4	TECNICO EN PROGRAMACION COMPUTACIONAL|3|4|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	2	TECNICO EN PROGRAMACION COMPUTACIONAL	3	4	2	1	NO APLICA	5	0	5	1	5	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	2019	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C2J4V2	I162S2C2J4V2	2|2|4|2	TECNICO EN PROGRAMACION COMPUTACIONAL	CASA CENTRAL SANTIAGO	TECNICO EN PROGRAMACION COMPUTACIONAL|CASA CENTRAL SANTIAGO|4	TECNICO EN PROGRAMACION COMPUTACIONAL|3|4|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	2	TECNICO EN PROGRAMACION COMPUTACIONAL	1	2	1	1	NO APLICA	5	0	5	1	5	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	1990	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C2J2V1	I162S2C2J2V1	2|2|2|1	TECNICO EN PROGRAMACION COMPUTACIONAL	CASA CENTRAL SANTIAGO	TECNICO EN PROGRAMACION COMPUTACIONAL|CASA CENTRAL SANTIAGO|2	TECNICO EN PROGRAMACION COMPUTACIONAL|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	2	TECNICO EN PROGRAMACION COMPUTACIONAL	1	2	2	1	NO APLICA	5	0	5	1	5	TECNICO EN PROGRAMACION COMPUTACIONAL	1	1	2019	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C2J2V2	I162S2C2J2V2	2|2|2|2	TECNICO EN PROGRAMACION COMPUTACIONAL	CASA CENTRAL SANTIAGO	TECNICO EN PROGRAMACION COMPUTACIONAL|CASA CENTRAL SANTIAGO|2	TECNICO EN PROGRAMACION COMPUTACIONAL|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	1	1	1	1	NO APLICA	8	0	8	1	8	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2002	2	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C3J1V1	I162S2C3J1V1	2|3|1|1	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1	INGENIERIA EN CONECTIVIDAD Y REDES|1|1|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	1	1	2	1	NO APLICA	8	0	8	1	8	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2019	2	1	0	10	0	0	0	0	0	0	0	0	0	0	30	0																		I162S2C3J1V2	I162S2C3J1V2	2|3|1|2	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1	INGENIERIA EN CONECTIVIDAD Y REDES|1|1|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	1	1	NO APLICA	8	0	8	1	8	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2002	2	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C3J2V1	I162S2C3J2V1	2|3|2|1	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2	INGENIERIA EN CONECTIVIDAD Y REDES|1|2|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	3	3	NO APLICA	4	0	4	1	4	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2017	2	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C3J2V3	I162S2C3J2V3	2|3|2|3	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2	INGENIERIA EN CONECTIVIDAD Y REDES|1|2|3|4|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	1	2	4	1	NO APLICA	8	0	8	1	8	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2019	2	1	0	10	0	0	0	0	0	0	0	0	0	0	30	0																		I162S2C3J2V4	I162S2C3J2V4	2|3|2|4	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2	INGENIERIA EN CONECTIVIDAD Y REDES|1|2|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	3	4	2	1	NO APLICA	8	0	8	1	8	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2019	2	1	0	10	0	0	0	0	0	0	0	0	0	0	100	0																		I162S2C3J4V2	I162S2C3J4V2	2|3|4|2	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|4	INGENIERIA EN CONECTIVIDAD Y REDES|3|4|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	3	INGENIERIA EN CONECTIVIDAD Y REDES	3	4	3	3	NO APLICA	4	0	4	1	4	INGENIERO EN CONECTIVIDAD Y REDES	1	2	2019	2	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C3J4V3	I162S2C3J4V3	2|3|4|3	INGENIERIA EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	INGENIERIA EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|4	INGENIERIA EN CONECTIVIDAD Y REDES|3|4|3|4|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	6	TECNICO EN CONECTIVIDAD Y REDES	1	1	1	1	NO APLICA	5	0	5	1	5	TECNICO EN CONECTIVIDAD Y REDES	1	1	2002	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C6J1V1	I162S2C6J1V1	2|6|1|1	TECNICO EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	TECNICO EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1	TECNICO EN CONECTIVIDAD Y REDES|1|1|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	6	TECNICO EN CONECTIVIDAD Y REDES	1	1	2	1	NO APLICA	5	0	5	1	5	TECNICO EN CONECTIVIDAD Y REDES	1	1	2019	2	1	0	10	0	0	0	1	0	0	1	1	1	1	30	0																		I162S2C6J1V2	I162S2C6J1V2	2|6|1|2	TECNICO EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	TECNICO EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|1	TECNICO EN CONECTIVIDAD Y REDES|1|1|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	6	TECNICO EN CONECTIVIDAD Y REDES	1	2	1	1	NO APLICA	5	0	5	1	5	TECNICO EN CONECTIVIDAD Y REDES	1	1	2002	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C6J2V1	I162S2C6J2V1	2|6|2|1	TECNICO EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	TECNICO EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2	TECNICO EN CONECTIVIDAD Y REDES|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	6	TECNICO EN CONECTIVIDAD Y REDES	1	2	2	1	NO APLICA	5	0	5	1	5	TECNICO EN CONECTIVIDAD Y REDES	1	1	2019	2	1	0	10	0	0	0	1	0	0	1	1	1	1	30	0																		I162S2C6J2V2	I162S2C6J2V2	2|6|2|2	TECNICO EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	TECNICO EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|2	TECNICO EN CONECTIVIDAD Y REDES|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	6	TECNICO EN CONECTIVIDAD Y REDES	3	4	2	1	NO APLICA	5	0	5	1	5	TECNICO EN CONECTIVIDAD Y REDES	1	1	2019	2	1	0	10	0	0	0	1	0	0	1	1	1	1	60	0																		I162S2C6J4V2	I162S2C6J4V2	2|6|4|2	TECNICO EN CONECTIVIDAD Y REDES	CASA CENTRAL SANTIAGO	TECNICO EN CONECTIVIDAD Y REDES|CASA CENTRAL SANTIAGO|4	TECNICO EN CONECTIVIDAD Y REDES|3|4|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	10	TECNICO EN PREVENCION DE RIESGOS	1	1	1	1	NO APLICA	5	0	5	1	5	TECNICO EN PREVENCION DE RIESGOS	1	1	2013	2	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0																		I162S2C10J1V1	I162S2C10J1V1	2|10|1|1	TECNICO EN PREVENCION DE RIESGOS	CASA CENTRAL SANTIAGO	TECNICO EN PREVENCION DE RIESGOS|CASA CENTRAL SANTIAGO|1	TECNICO EN PREVENCION DE RIESGOS|1|1|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	10	TECNICO EN PREVENCION DE RIESGOS	1	2	1	1	NO APLICA	5	0	5	1	5	TECNICO EN PREVENCION DE RIESGOS	1	1	2013	2	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0																		I162S2C10J2V1	I162S2C10J2V1	2|10|2|1	TECNICO EN PREVENCION DE RIESGOS	CASA CENTRAL SANTIAGO	TECNICO EN PREVENCION DE RIESGOS|CASA CENTRAL SANTIAGO|2	TECNICO EN PREVENCION DE RIESGOS|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	10	TECNICO EN PREVENCION DE RIESGOS	3	4	1	1	NO APLICA	5	0	5	2	7	TECNICO EN PREVENCION DE RIESGOS	1	1	2026	2	1	0	9	0	0	0	0	0	0	0	0	1	0	45	0																		I162S2C10J4V1	I162S2C10J4V1	2|10|4|1	TECNICO EN PREVENCION DE RIESGOS	CASA CENTRAL SANTIAGO	TECNICO EN PREVENCION DE RIESGOS|CASA CENTRAL SANTIAGO|4	TECNICO EN PREVENCION DE RIESGOS|3|4|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	11	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	1	NO APLICA	5	0	5	1	5	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	2013	2	1	0	7	0	0	0	1	0	0	1	1	1	1	0	0																		I162S2C11J1V1	I162S2C11J1V1	2|11|1|1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|1|1|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	11	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	1	NO APLICA	5	0	5	1	5	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	2013	2	1	0	7	0	0	0	1	0	0	1	1	1	1	0	0																		I162S2C11J2V1	I162S2C11J2V1	2|11|2|1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|2	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|1|2|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	11	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	3	4	1	1	NO APLICA	5	0	5	1	5	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	2022	2	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0																		I162S2C11J4V1	I162S2C11J4V1	2|11|4|1	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|4	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL|3|4|1|5|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	22	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	1	1	1	NO APLICA	8	0	8	1	8	INGENIERO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2014	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C22J1V1	I162S2C22J1V1	2|22|1|1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|1|1|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	22	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	1	1	NO APLICA	8	0	8	1	8	INGENIERO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2014	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C22J2V1	I162S2C22J2V1	2|22|2|1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|2	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|1|2|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	22	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2	3	NO APLICA	4	0	4	1	4	INGENIERO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2017	2	2	4	7	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C22J2V2	I162S2C22J2V2	2|22|2|2	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|2	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|1|2|3|4|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	22	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	3	4	2	3	NO APLICA	4	0	4	1	4	INGENIERO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2024	2	2	4	7	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C22J4V2	I162S2C22J4V2	2|22|4|2	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|4	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|3|4|3|4|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	22	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	3	4	1	1	NO APLICA	8	0	8	1	8	INGENIERO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	1	2	2022	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0																		I162S2C22J4V1	I162S2C22J4V1	2|22|4|1	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	CASA CENTRAL SANTIAGO	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|CASA CENTRAL SANTIAGO|4	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL|3|4|1|8|1|2	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	35	TECNICO EN ANALISIS DE SISTEMAS	1	1	1	1	NO APLICA	6	0	6	1	6	TECNICO EN ANALISIS DE SISTEMAS	1	1	2015	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C35J1V1	I162S2C35J1V1	2|35|1|1	TECNICO EN ANALISIS DE SISTEMAS	CASA CENTRAL SANTIAGO	TECNICO EN ANALISIS DE SISTEMAS|CASA CENTRAL SANTIAGO|1	TECNICO EN ANALISIS DE SISTEMAS|1|1|1|6|1|1	OK	OK	OK	OK	
2	CASA CENTRAL (SANTIAGO)	35	TECNICO EN ANALISIS DE SISTEMAS	1	2	1	1	NO APLICA	6	0	6	1	6	TECNICO EN ANALISIS DE SISTEMAS	1	1	2015	2	1	0	10	0	0	0	1	0	0	0	0	0	1	0	0																		I162S2C35J2V1	I162S2C35J2V1	2|35|2|1	TECNICO EN ANALISIS DE SISTEMAS	CASA CENTRAL SANTIAGO	TECNICO EN ANALISIS DE SISTEMAS|CASA CENTRAL SANTIAGO|2	TECNICO EN ANALISIS DE SISTEMAS|1|2|1|6|1|1	OK	OK	OK	OK	
