Cód. Institución	Nombre Institución	Cód. Carrera	Nombre Programa	Mención o Especialidad	Horario	Comuna	Variable	2025	2026	Diferencia 2026 - 2025	Diferencia% 2026 - 2025
2024	IP SAN SEBASTIÁN	40713	Ingeniería en Ciberseguridad		Diurno	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	40713	Ingeniería en Ciberseguridad		Diurno	Santiago	Valor arancel	2.130.000		-2.130.000	-100,0%
2024	IP SAN SEBASTIÁN	40713	Ingeniería en Ciberseguridad		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	40714	Ingeniería en Ciberseguridad		Vespertino	Santiago	Matrícula Primer Año	15		-15	-100,0%
2024	IP SAN SEBASTIÁN	40714	Ingeniería en Ciberseguridad		Vespertino	Santiago	Matrícula Total	36		-36	-100,0%
2024	IP SAN SEBASTIÁN	40714	Ingeniería en Ciberseguridad		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	40714	Ingeniería en Ciberseguridad		Vespertino	Santiago	Valor arancel	2.270.000		-2.270.000	-100,0%
2024	IP SAN SEBASTIÁN	40714	Ingeniería en Ciberseguridad		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	40717	TNS en Ciberseguridad		Diurno	Santiago	Matrícula Primer Año	9		-9	-100,0%
2024	IP SAN SEBASTIÁN	40717	TNS en Ciberseguridad		Diurno	Santiago	Matrícula Total	11		-11	-100,0%
2024	IP SAN SEBASTIÁN	40717	TNS en Ciberseguridad		Diurno	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	40717	TNS en Ciberseguridad		Diurno	Santiago	Valor arancel	2.130.000		-2.130.000	-100,0%
2024	IP SAN SEBASTIÁN	40717	TNS en Ciberseguridad		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	43928	Ingeniería en Ciberseguridad		Otro	Santiago	Matrícula Primer Año	145		-145	-100,0%
2024	IP SAN SEBASTIÁN	43928	Ingeniería en Ciberseguridad		Otro	Santiago	Matrícula Total	306		-306	-100,0%
2024	IP SAN SEBASTIÁN	43928	Ingeniería en Ciberseguridad		Otro	Santiago	Vacantes	120		-120	-100,0%
2024	IP SAN SEBASTIÁN	43928	Ingeniería en Ciberseguridad		Otro	Santiago	Valor arancel	2.250.000		-2.250.000	-100,0%
2024	IP SAN SEBASTIÁN	43928	Ingeniería en Ciberseguridad		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	43930	TNS en Programación y Análisis de Sistemas		Vespertino	Santiago	Matrícula Primer Año	15		-15	-100,0%
2024	IP SAN SEBASTIÁN	43930	TNS en Programación y Análisis de Sistemas		Vespertino	Santiago	Matrícula Total	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	43930	TNS en Programación y Análisis de Sistemas		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	43930	TNS en Programación y Análisis de Sistemas		Vespertino	Santiago	Valor arancel	2.310.000		-2.310.000	-100,0%
2024	IP SAN SEBASTIÁN	43930	TNS en Programación y Análisis de Sistemas		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	43931	TNS en Ciberseguridad		Otro	Santiago	Matrícula Primer Año	69		-69	-100,0%
2024	IP SAN SEBASTIÁN	43931	TNS en Ciberseguridad		Otro	Santiago	Matrícula Total	140		-140	-100,0%
2024	IP SAN SEBASTIÁN	43931	TNS en Ciberseguridad		Otro	Santiago	Vacantes	50		-50	-100,0%
2024	IP SAN SEBASTIÁN	43931	TNS en Ciberseguridad		Otro	Santiago	Valor arancel	2.250.000		-2.250.000	-100,0%
2024	IP SAN SEBASTIÁN	43931	TNS en Ciberseguridad		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	43932	TNS en Programación y Análisis de Sistemas		Otro	Santiago	Matrícula Primer Año	137		-137	-100,0%
2024	IP SAN SEBASTIÁN	43932	TNS en Programación y Análisis de Sistemas		Otro	Santiago	Matrícula Total	306		-306	-100,0%
2024	IP SAN SEBASTIÁN	43932	TNS en Programación y Análisis de Sistemas		Otro	Santiago	Vacantes	130		-130	-100,0%
2024	IP SAN SEBASTIÁN	43932	TNS en Programación y Análisis de Sistemas		Otro	Santiago	Valor arancel	2.150.000		-2.150.000	-100,0%
2024	IP SAN SEBASTIÁN	43932	TNS en Programación y Análisis de Sistemas		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	43935	TNS en Programación y Análisis de Sistemas		Diurno	Santiago	Matrícula Primer Año	17		-17	-100,0%
2024	IP SAN SEBASTIÁN	43935	TNS en Programación y Análisis de Sistemas		Diurno	Santiago	Matrícula Total	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	43935	TNS en Programación y Análisis de Sistemas		Diurno	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	43935	TNS en Programación y Análisis de Sistemas		Diurno	Santiago	Valor arancel	2.130.000		-2.130.000	-100,0%
2024	IP SAN SEBASTIÁN	43935	TNS en Programación y Análisis de Sistemas		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51504	Ingeniería en Administración de Empresas		Vespertino	Santiago	Matrícula Primer Año	22		-22	-100,0%
2024	IP SAN SEBASTIÁN	51504	Ingeniería en Administración de Empresas		Vespertino	Santiago	Matrícula Total	22		-22	-100,0%
2024	IP SAN SEBASTIÁN	51504	Ingeniería en Administración de Empresas		Vespertino	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	51504	Ingeniería en Administración de Empresas		Vespertino	Santiago	Valor arancel	1.880.000		-1.880.000	-100,0%
2024	IP SAN SEBASTIÁN	51504	Ingeniería en Administración de Empresas		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51505	Ingeniería en Administración de Empresas		Otro	Santiago	Matrícula Primer Año	96		-96	-100,0%
2024	IP SAN SEBASTIÁN	51505	Ingeniería en Administración de Empresas		Otro	Santiago	Matrícula Total	101		-101	-100,0%
2024	IP SAN SEBASTIÁN	51505	Ingeniería en Administración de Empresas		Otro	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	51505	Ingeniería en Administración de Empresas		Otro	Santiago	Valor arancel	1.980.000		-1.980.000	-100,0%
2024	IP SAN SEBASTIÁN	51505	Ingeniería en Administración de Empresas		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51506	TNS en Administración de Empresas		Vespertino	Santiago	Matrícula Primer Año	11		-11	-100,0%
2024	IP SAN SEBASTIÁN	51506	TNS en Administración de Empresas		Vespertino	Santiago	Matrícula Total	11		-11	-100,0%
2024	IP SAN SEBASTIÁN	51506	TNS en Administración de Empresas		Vespertino	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	51506	TNS en Administración de Empresas		Vespertino	Santiago	Valor arancel	1.880.000		-1.880.000	-100,0%
2024	IP SAN SEBASTIÁN	51506	TNS en Administración de Empresas		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51508	Ingeniería en Logística		Vespertino	Santiago	Matrícula Primer Año	13		-13	-100,0%
2024	IP SAN SEBASTIÁN	51508	Ingeniería en Logística		Vespertino	Santiago	Matrícula Total	15		-15	-100,0%
2024	IP SAN SEBASTIÁN	51508	Ingeniería en Logística		Vespertino	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	51508	Ingeniería en Logística		Vespertino	Santiago	Valor arancel	1.880.000		-1.880.000	-100,0%
2024	IP SAN SEBASTIÁN	51508	Ingeniería en Logística		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51509	Ingeniería en Logística		Otro	Santiago	Matrícula Primer Año	72		-72	-100,0%
2024	IP SAN SEBASTIÁN	51509	Ingeniería en Logística		Otro	Santiago	Matrícula Total	77		-77	-100,0%
2024	IP SAN SEBASTIÁN	51509	Ingeniería en Logística		Otro	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	51509	Ingeniería en Logística		Otro	Santiago	Valor arancel	1.980.000		-1.980.000	-100,0%
2024	IP SAN SEBASTIÁN	51509	Ingeniería en Logística		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51510	TNS en Administración de Empresas		Otro	Santiago	Matrícula Primer Año	65		-65	-100,0%
2024	IP SAN SEBASTIÁN	51510	TNS en Administración de Empresas		Otro	Santiago	Matrícula Total	74		-74	-100,0%
2024	IP SAN SEBASTIÁN	51510	TNS en Administración de Empresas		Otro	Santiago	Vacantes	20		-20	-100,0%
2024	IP SAN SEBASTIÁN	51510	TNS en Administración de Empresas		Otro	Santiago	Valor arancel	1.980.000		-1.980.000	-100,0%
2024	IP SAN SEBASTIÁN	51510	TNS en Administración de Empresas		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51511	TNS en Logística		Diurno	Santiago	Matrícula Primer Año	20		-20	-100,0%
2024	IP SAN SEBASTIÁN	51511	TNS en Logística		Diurno	Santiago	Matrícula Total	24		-24	-100,0%
2024	IP SAN SEBASTIÁN	51511	TNS en Logística		Diurno	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	51511	TNS en Logística		Diurno	Santiago	Valor arancel	1.880.000		-1.880.000	-100,0%
2024	IP SAN SEBASTIÁN	51511	TNS en Logística		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	51512	TNS en Logística		Vespertino	Santiago	Matrícula Primer Año	67		-67	-100,0%
2024	IP SAN SEBASTIÁN	51512	TNS en Logística		Vespertino	Santiago	Matrícula Total	74		-74	-100,0%
2024	IP SAN SEBASTIÁN	51512	TNS en Logística		Vespertino	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	51512	TNS en Logística		Vespertino	Santiago	Valor arancel	1.880.000		-1.880.000	-100,0%
2024	IP SAN SEBASTIÁN	51512	TNS en Logística		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53717	Administración Pública		Otro	Santiago	Matrícula Primer Año	70		-70	-100,0%
2024	IP SAN SEBASTIÁN	53717	Administración Pública		Otro	Santiago	Matrícula Total	70		-70	-100,0%
2024	IP SAN SEBASTIÁN	53717	Administración Pública		Otro	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	53717	Administración Pública		Otro	Santiago	Valor arancel	1.920.000		-1.920.000	-100,0%
2024	IP SAN SEBASTIÁN	53717	Administración Pública		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53718	TNS en Contabilidad General		Otro	Santiago	Matrícula Primer Año	38		-38	-100,0%
2024	IP SAN SEBASTIÁN	53718	TNS en Contabilidad General		Otro	Santiago	Matrícula Total	38		-38	-100,0%
2024	IP SAN SEBASTIÁN	53718	TNS en Contabilidad General		Otro	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	53718	TNS en Contabilidad General		Otro	Santiago	Valor arancel	1.920.000		-1.920.000	-100,0%
2024	IP SAN SEBASTIÁN	53718	TNS en Contabilidad General		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53719	TNS en Ciencia de Datos		Otro	Santiago	Matrícula Primer Año	23		-23	-100,0%
2024	IP SAN SEBASTIÁN	53719	TNS en Ciencia de Datos		Otro	Santiago	Matrícula Total	23		-23	-100,0%
2024	IP SAN SEBASTIÁN	53719	TNS en Ciencia de Datos		Otro	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	53719	TNS en Ciencia de Datos		Otro	Santiago	Valor arancel	1.990.000		-1.990.000	-100,0%
2024	IP SAN SEBASTIÁN	53719	TNS en Ciencia de Datos		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53720	TNS en Administración Pública		Otro	Santiago	Matrícula Primer Año	22		-22	-100,0%
2024	IP SAN SEBASTIÁN	53720	TNS en Administración Pública		Otro	Santiago	Matrícula Total	22		-22	-100,0%
2024	IP SAN SEBASTIÁN	53720	TNS en Administración Pública		Otro	Santiago	Vacantes	20		-20	-100,0%
2024	IP SAN SEBASTIÁN	53720	TNS en Administración Pública		Otro	Santiago	Valor arancel	1.920.000		-1.920.000	-100,0%
2024	IP SAN SEBASTIÁN	53720	TNS en Administración Pública		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53721	Auditoria		Otro	Santiago	Matrícula Primer Año	41		-41	-100,0%
2024	IP SAN SEBASTIÁN	53721	Auditoria		Otro	Santiago	Matrícula Total	41		-41	-100,0%
2024	IP SAN SEBASTIÁN	53721	Auditoria		Otro	Santiago	Vacantes	25		-25	-100,0%
2024	IP SAN SEBASTIÁN	53721	Auditoria		Otro	Santiago	Valor arancel	1.920.000		-1.920.000	-100,0%
2024	IP SAN SEBASTIÁN	53721	Auditoria		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53722	Ingeniería en Ciencia de Datos		Otro	Santiago	Matrícula Primer Año	42		-42	-100,0%
2024	IP SAN SEBASTIÁN	53722	Ingeniería en Ciencia de Datos		Otro	Santiago	Matrícula Total	42		-42	-100,0%
2024	IP SAN SEBASTIÁN	53722	Ingeniería en Ciencia de Datos		Otro	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	53722	Ingeniería en Ciencia de Datos		Otro	Santiago	Valor arancel	1.990.000		-1.990.000	-100,0%
2024	IP SAN SEBASTIÁN	53722	Ingeniería en Ciencia de Datos		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53723	Ingeniería Industrial (P.E.)		Otro	Santiago	Matrícula Primer Año	37		-37	-100,0%
2024	IP SAN SEBASTIÁN	53723	Ingeniería Industrial (P.E.)		Otro	Santiago	Matrícula Total	37		-37	-100,0%
2024	IP SAN SEBASTIÁN	53723	Ingeniería Industrial (P.E.)		Otro	Santiago	Vacantes	50		-50	-100,0%
2024	IP SAN SEBASTIÁN	53723	Ingeniería Industrial (P.E.)		Otro	Santiago	Valor arancel	1.920.000		-1.920.000	-100,0%
2024	IP SAN SEBASTIÁN	53723	Ingeniería Industrial (P.E.)		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53725	TNS en Enfermería		Diurno	Santiago	Matrícula Primer Año	35		-35	-100,0%
2024	IP SAN SEBASTIÁN	53725	TNS en Enfermería		Diurno	Santiago	Matrícula Total	35		-35	-100,0%
2024	IP SAN SEBASTIÁN	53725	TNS en Enfermería		Diurno	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	53725	TNS en Enfermería		Diurno	Santiago	Valor arancel	1.990.000		-1.990.000	-100,0%
2024	IP SAN SEBASTIÁN	53725	TNS en Enfermería		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	53726	TNS en Enfermería		Vespertino	Santiago	Matrícula Primer Año	43		-43	-100,0%
2024	IP SAN SEBASTIÁN	53726	TNS en Enfermería		Vespertino	Santiago	Matrícula Total	43		-43	-100,0%
2024	IP SAN SEBASTIÁN	53726	TNS en Enfermería		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	53726	TNS en Enfermería		Vespertino	Santiago	Valor arancel	1.990.000		-1.990.000	-100,0%
2024	IP SAN SEBASTIÁN	53726	TNS en Enfermería		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
